Group,Variable,Distribution,Dist_file
BENCHMARK,Ps,{'fixed_value': 0.0025},
BENCHMARK,Tobs,{'fixed_value': 0.25},
BENCHMARK,frequency,"{'distr': <scipy.stats._continuous_distns.uniform_gen object at 0x000001E23195E100>, 'stats': 'RSS', 'params': (6.0, 66.0), 'name': 'uniform', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E2370CE880>, 'score': 0.2754820936639133, 'loc': 6.0, 'scale': 66.0, 'arg': (), 'CII_min_alpha': 9.3, 'CII_max_alpha': 68.69999999999999}",BENCHMARK_frequency_All_GTO_dist.pickle
BENCHMARK,phase,"{'distr': <scipy.stats._continuous_distns.uniform_gen object at 0x000001E23195E100>, 'stats': 'RSS', 'params': (0.0, 1.0), 'name': 'uniform', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E2370C5610>, 'score': 1199.999999999999, 'loc': 0.0, 'scale': 1.0, 'arg': (), 'CII_min_alpha': 0.05, 'CII_max_alpha': 0.95}",BENCHMARK_phase_All_GTO_dist.pickle
BENCHMARK,amplitudeRV,"{'distr': <scipy.stats._continuous_distns.uniform_gen object at 0x000001E23195E100>, 'stats': 'RSS', 'params': (0.1, 1.4), 'name': 'uniform', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E2371A3C40>, 'score': 612.2448979591829, 'loc': 0.1, 'scale': 1.4, 'arg': (), 'CII_min_alpha': 0.16999999999999998, 'CII_max_alpha': 1.43}",BENCHMARK_amplitudeRV_All_GTO_dist.pickle
BENCHMARK,offsetRV,"{'distr': <scipy.stats._continuous_distns.loggamma_gen object at 0x000001E231913940>, 'stats': 'RSS', 'params': (6.271542848163972, -4483.9142271669825, 2516.2583826503533), 'name': 'loggamma', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E237468AC0>, 'score': 1.320590007584484e-07, 'loc': -4483.9142271669825, 'scale': 2516.2583826503533, 'arg': (6.271542848163972,), 'CII_min_alpha': -1899.4527915696203, 'CII_max_alpha': 1521.439616075064}",BENCHMARK_offsetRV_All_GTO_dist.pickle
BENCHMARK,refepochRV,"{'distr': <scipy.stats._continuous_distns.lognorm_gen object at 0x000001E231913EB0>, 'stats': 'RSS', 'params': (1.7937046895625994, 2457392.087539447, 81.40346272109937), 'name': 'lognorm', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E237CFD160>, 'score': 4.568588041917488e-06, 'loc': 2457392.087539447, 'scale': 81.40346272109937, 'arg': (1.7937046895625994,), 'CII_min_alpha': 2457396.3465469275, 'CII_max_alpha': 2458947.9720437885}",BENCHMARK_refepochRV_All_GTO_dist.pickle
RV,noiseRV,"{'distr': <scipy.stats._continuous_distns.beta_gen object at 0x000001E2318BA190>, 'stats': 'RSS', 'params': (0.9958736128535881, 595.5110675980816, 0.42176414000699997, 1178.0692831417368), 'name': 'beta', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E2382E31F0>, 'score': 0.0016897470198599487, 'loc': 0.42176414000699997, 'scale': 1178.0692831417368, 'arg': (0.9958736128535881, 595.5110675980816), 'CII_min_alpha': 0.5217731711659219, 'CII_max_alpha': 6.317467560223317}",RV_noiseRV_All_GTO_dist.pickle
RV,samplingperiodRV,"{'distr': <scipy.stats._continuous_distns.pareto_gen object at 0x000001E23192AF40>, 'stats': 'RSS', 'params': (3.3200397810070044, -35.552056176575654, 35.51852042528611), 'name': 'pareto', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E237DD5220>, 'score': 3.0456968049900814e-05, 'loc': -35.552056176575654, 'scale': 35.51852042528611, 'arg': (3.3200397810070044,), 'CII_min_alpha': 0.5194721414434227, 'CII_max_alpha': 52.01216223150386}",RV_samplingperiodRV_All_GTO_dist.pickle
RV,numsamplesRV,"{'distr': <scipy.stats._continuous_distns.lognorm_gen object at 0x000001E231913EB0>, 'stats': 'RSS', 'params': (1.133854037354606, 2.4429937307671574, 26.34882746009161), 'name': 'lognorm', 'model': <scipy.stats._distn_infrastructure.rv_frozen object at 0x000001E237CD7D30>, 'score': 3.900179744028182e-05, 'loc': 2.4429937307671574, 'scale': 26.34882746009161, 'arg': (1.133854037354606,), 'CII_min_alpha': 6.524229591342358, 'CII_max_alpha': 172.55340445910707}",RV_numsamplesRV_All_GTO_dist.pickle
