Val_sample_ID,precision,accuracy,recall,f1_score
0,0.7038043478260869,0.6675,0.9151943462897526,0.7956989247311829
1,0.7058823529411765,0.6875,0.946236559139785,0.8085758039816232
2,0.7247956403269755,0.705,0.9399293286219081,0.8184615384615385
3,0.6875,0.65,0.9100719424460432,0.78328173374613
4,0.707774798927614,0.69,0.946236559139785,0.8098159509202455
5,0.7563025210084033,0.7025,0.8940397350993378,0.8194233687405159
6,0.7071240105540897,0.69,0.9537366548042705,0.8121212121212121
7,0.6972972972972973,0.67,0.9280575539568345,0.7962962962962963
8,0.7041095890410959,0.6625,0.9049295774647887,0.7919876733436055
9,0.6612903225806451,0.6375,0.9283018867924528,0.7723704866562009
10,0.7252747252747253,0.6825,0.9072164948453608,0.8061068702290076
11,0.7169811320754716,0.6925,0.9366197183098591,0.8122137404580152
12,0.7138964577656676,0.68,0.9192982456140351,0.803680981595092
13,0.7054054054054054,0.665,0.9125874125874126,0.7957317073170732
14,0.7026315789473684,0.6875,0.956989247311828,0.810318664643399
15,0.7272727272727273,0.6875,0.9103448275862069,0.8085758039816233
16,0.7275204359673024,0.6975,0.9270833333333334,0.815267175572519
17,0.7287671232876712,0.695,0.9204152249134948,0.8134556574923547
18,0.6685082872928176,0.64,0.9097744360902256,0.7707006369426752
19,0.7262872628726287,0.6875,0.9178082191780822,0.8108925869894098
min,0.6612903225806451,0.6375,0.8940397350993378,0.7707006369426752
max,0.7563025210084033,0.705,0.956989247311828,0.8194233687405159
stdev,0.021549462549641255,0.019626026624170043,0.01750889564821311,0.014165558193329894
mean,0.7099213008332586,0.6788750000000001,0.92424356517624,0.8027488407109858
