Detection threshold,precision,accuracy,recall,F1_score,Nr. stars to survey,Expected pulsators,Survey ratio,Detection ratio
0.0,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.01,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.02,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.03,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.04,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.05,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.06,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.07,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.08,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.09,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.1,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.11,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.12,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.13,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.14,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.15,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.16,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.17,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.18,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.19,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.2,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.21,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.22,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.23,0.704,0.704,1.0,0.8262910798122065,250,176,1.0,1.0
0.24,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.25,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.26,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.27,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.28,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.29,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.3,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.31,0.7028112449799196,0.7,0.9943181818181818,0.8235294117647058,249,175,0.996,0.9943181818181818
0.32,0.7016129032258065,0.696,0.9886363636363636,0.8207547169811321,248,174,0.992,0.9886363636363636
0.33,0.7004048582995951,0.692,0.9829545454545454,0.8179669030732859,247,173,0.988,0.9829545454545454
0.34,0.7004048582995951,0.692,0.9829545454545454,0.8179669030732859,247,173,0.988,0.9829545454545454
0.35000000000000003,0.7004048582995951,0.692,0.9829545454545454,0.8179669030732859,247,173,0.988,0.9829545454545454
0.36,0.7004048582995951,0.692,0.9829545454545454,0.8179669030732859,247,173,0.988,0.9829545454545454
0.37,0.6967213114754098,0.68,0.9659090909090909,0.8095238095238095,244,170,0.976,0.9659090909090909
0.38,0.6995884773662552,0.684,0.9659090909090909,0.81145584725537,243,170,0.972,0.9659090909090909
0.39,0.6995884773662552,0.684,0.9659090909090909,0.81145584725537,243,170,0.972,0.9659090909090909
0.4,0.6995884773662552,0.684,0.9659090909090909,0.81145584725537,243,170,0.972,0.9659090909090909
0.41000000000000003,0.6983471074380165,0.68,0.9602272727272727,0.8086124401913876,242,169,0.968,0.9602272727272727
0.42,0.6970954356846473,0.676,0.9545454545454546,0.8057553956834532,241,168,0.964,0.9545454545454546
0.43,0.698744769874477,0.676,0.9488636363636364,0.8048192771084338,239,167,0.956,0.9488636363636364
0.44,0.698744769874477,0.676,0.9488636363636364,0.8048192771084338,239,167,0.956,0.9488636363636364
0.45,0.6962025316455697,0.668,0.9375,0.7990314769975787,237,165,0.948,0.9375
0.46,0.6962025316455697,0.668,0.9375,0.7990314769975787,237,165,0.948,0.9375
0.47000000000000003,0.7008547008547008,0.672,0.9318181818181818,0.7999999999999999,234,164,0.936,0.9318181818181818
0.48,0.7008547008547008,0.672,0.9318181818181818,0.7999999999999999,234,164,0.936,0.9318181818181818
0.49,0.6995708154506438,0.668,0.9261363636363636,0.7970660146699267,233,163,0.932,0.9261363636363636
0.5,0.7012987012987013,0.668,0.9204545454545454,0.7960687960687961,231,162,0.924,0.9204545454545454
0.51,0.7012987012987013,0.668,0.9204545454545454,0.7960687960687961,231,162,0.924,0.9204545454545454
0.52,0.7004405286343612,0.66,0.9034090909090909,0.7890818858560794,227,159,0.908,0.9034090909090909
0.53,0.7035398230088495,0.664,0.9034090909090909,0.7910447761194029,226,159,0.904,0.9034090909090909
0.54,0.7072072072072072,0.664,0.8920454545454546,0.7889447236180904,222,157,0.888,0.8920454545454546
0.55,0.7168949771689498,0.676,0.8920454545454546,0.7949367088607596,219,157,0.876,0.8920454545454546
0.56,0.719626168224299,0.672,0.875,0.7897435897435897,214,154,0.856,0.875
0.5700000000000001,0.7216981132075472,0.672,0.8693181818181818,0.788659793814433,212,153,0.848,0.8693181818181818
0.58,0.7203791469194313,0.668,0.8636363636363636,0.7855297157622738,211,152,0.844,0.8636363636363636
0.59,0.7177033492822966,0.66,0.8522727272727273,0.7792207792207793,209,150,0.836,0.8522727272727273
0.6,0.7177033492822966,0.66,0.8522727272727273,0.7792207792207793,209,150,0.836,0.8522727272727273
0.61,0.7184466019417476,0.656,0.8409090909090909,0.7748691099476439,206,148,0.824,0.8409090909090909
0.62,0.7142857142857143,0.644,0.8238636363636364,0.7651715039577837,203,145,0.812,0.8238636363636364
