,0
GJ,95
l_J2016_deg,1
b_J2016_deg,1
logg,4
elogg,4
[Fe/H],4
e[Fe/H],42
R_Rsol,1
eR_Rsol,1
Ref05,1
M_Msol,1
eM_Msol,1
Ref06,1
pi_mas,1
epi_mas,1
Ref08,1
Vr_kms-1,14
eVr_kms-1,14
Ref10,14
ruwe,4
Ref11,4
U_kms-1,26
eU_kms-1,26
V_kms-1,26
eV_kms-1,26
W_kms-1,26
eW_kms-1,26
Ref12,26
sa_m/s/a,24
esa_m/s/a,25
Ref13,24
SKG,283
Ref14,280
SKG_lit,372
Ref14_lit,372
Pop,26
Ref15,26
vsini_flag,36
vsini_kms-1,36
evsini_kms-1,300
Ref16,36
P_d,190
eP_d,219
Ref17,190
pEWHalpha_A,24
epEWHalpha_A,46
Ref18,24
log(LHalpha/Lbol),294
elog(LHalpha/Lbol),294
Ref19,294
1RXS,262
CRT_s-1,230
eCRT_s-1,231
HR1,251
eHR1,251
HR2,262
eHR2,262
Flux_X_E-13_ergcm-2s-1,220
eFlux_X_E-13_ergcm-2s-1,223
LX/LJ,220
eLX/LJ,223
Ref20,218
Activity,282
Ref21,282
FUV_mag,310
eFUV_mag,310
NUV_mag,211
eNUV_mag,211
Ref22,210
u_mag,211
eu_mag,212
Ref23,211
BT_mag,227
eBT_mag,227
Ref24,227
B_mag,50
eB_mag,50
Ref25,50
g_mag,4
eg_mag,4
Ref27,4
VT_mag,206
eVT_mag,206
Ref28,206
V_mag,49
eV_mag,49
Ref29,49
Ra_mag,42
Ref30,42
r_mag,4
er_mag,4
Ref31,4
i_mag,6
ei_mag,6
Ref33,6
IN_mag,69
Ref35,68
eJ_mag,3
eKs_mag,1
W1_mag,2
eW1_mag,3
W2_mag,2
eW2_mag,2
W3_mag,2
eW3_mag,2
W4_mag,2
eW4_mag,16
QFlag_WISE,2
Ref37,2
WideWDS,326
Widerho_arcsec,324
eWiderho_arcsec,353
Ref38,350
WideCompanionName,324
WideCompanionSpT,363
CloseWDS,388
Closerho_arcsec,387
eCloserho_arcsec,390
Ref39,372
CloseCompanionSpT,390
RV,35
Ref40,326
PlanetNum,4
LoRes_spectrum,313
HiRes_spectrum,165
LoRes_imaging,336
HiRes_imaging,77
Survey,4
Notes,345
logg_min,4
logg_max,4
lc_file,123
