Karmn,error_PG_TESS
J10125+570,Floating point nan values are not allowed in FITS headers.
J19242+755,Floating point nan values are not allowed in FITS headers.
J19251+283,Floating point nan values are not allowed in FITS headers.
J20450+444,Floating point nan values are not allowed in FITS headers.
J02489-145E,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J02489-145W,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J07558+833,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J09307+003,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J12123+544S,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J16167+672S,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J18427+596N,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J18427+596S,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
J19206+731S,"Not recognized as a supported data product:
<ambiguous>
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
