Karmn,Name,Comp,GJ,RA_J2016_deg,DE_J2016_deg,RA_J2000,DE_J2000,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,Ref04,R_Rsol,eR_Rsol,Ref05,M_Msol,eM_Msol,Ref06,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref07,pi_mas,epi_mas,Ref08,d_pc,ed_pc,Ref09,Vr_kms-1,eVr_kms-1,Ref10,ruwe,Ref11,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref12,sa_m/s/a,esa_m/s/a,Ref13,SKG,Ref14,SKG_lit,Ref14_lit,Pop,Ref15,vsini_flag,vsini_kms-1,evsini_kms-1,Ref16,P_d,eP_d,Ref17,pEWHalpha_A,epEWHalpha_A,Ref18,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref19,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref20,Activity,Ref21,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref22,u_mag,eu_mag,Ref23,BT_mag,eBT_mag,Ref24,B_mag,eB_mag,Ref25,BP_mag,eBP_mag,Ref26,g_mag,eg_mag,Ref27,VT_mag,eVT_mag,Ref28,V_mag,eV_mag,Ref29,Ra_mag,Ref30,r_mag,er_mag,Ref31,GG_mag,eGG_mag,Ref32,i_mag,ei_mag,Ref33,RP_mag,eRP_mag,Ref34,IN_mag,Ref35,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2M,Ref36,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref37,Multiplicity,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref38,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref39,CloseCompanionSpT,RV,Planet,Ref40,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,Class,Survey,Notes,Gaia_id_1,2MASS_id,TIC_id,Teff_min_K,Teff_max_K,logg_min,logg_max,is_GTO,rv_file,lc_file,has_rv,has_lc,InstBand_nominal,InstBand_ranged
J23585+076,Wolf 1051,AB,4383,359.636419705836,7.65694708117931,23:58:32.65,+07:39:30.1,100.839686012448,-52.9310493417547,EDR3,M3.0 V,3.0,PMSU,3496.0,20.0,4.97,0.08,-0.06,0.06,Marf21,0.0293083,0.0004239,Karmn,0.46667,0.00632,Karmn,0.4684,0.0129,Karmn,82.4694775514765,0.35226285,-315.34631284094,0.1627385,EDR3,59.0941789236859,0.27797133,EDR3,16.92214053,0.07959955,EDR3,-13.54,0.08,Marf21,13.314306,EDR3,,,,,,,,0.0400316509621497,0.0018772203148098,Wol17,,,,,,,<,2.0,,Rein18,,,,0.042,0.01,Sche19,,,,,,,,,,,,,,,,,,,,21.316,0.297,GALEX,15.835,0.01,SDSS9,14.75,0.71,TYC2,13.221,0.01,UCAC4,12.0095,0.003,EDR3,12.465,0.01,UCAC4,11.944,0.194,TYC2,11.722,0.13,UCAC4,11.372,UCAC4,11.144,0.1,UCAC4,10.6636,0.0029,EDR3,9.865,0.1,UCAC4,9.4744,0.0038,EDR3,10.38,US-B1,7.907,0.023,7.29,0.029,7.063,0.021,AAA,2M,6.862,0.065,6.738,0.021,6.693,0.016,6.483,0.07,AAAA,AllWISE,ST3,,,,,,,,,,Karmn,,CARMENES+HARPS,No,,0.0,,FEROS,,(FastCam),Delta+,GTO,,2746709861572970624,23583264+0739304,408486498,3476.0,3516.0,4.89,5.05,True,../data/CARM_VIS_RVs/J23585+076.dat,,True,False,He3-burning,He3-burning
J23556-061,GJ 912,AB,912,358.913616654316,-6.14428302714463,23:55:39.78,-06:08:33.4,88.1299331878002,-65.1754910573533,EDR3,M2.5 V,2.5,PMSU,3639.0,30.0,4.84,0.14,-0.02,0.08,Marf21,0.0460607,0.0003012,Karmn,0.53995,0.00908,Karmn,0.5457,0.0153,Karmn,-480.237277607078,0.058738317,-378.885800139448,0.027684215,EDR3,55.9199596857383,0.043934,EDR3,17.88270245,0.0140497,EDR3,17.067161772975,0.582480369328724,EDR3,2.085181,EDR3,,,,,,,,0.1527063525656542,0.002503058443926,Wol17,,,,,,,<,2.0,,Rein18,,,,0.074,0.011,Sche19,,,,,,,,,,,,,,,,,,,,,,,14.918,0.005,SDSS9,14.263,0.756,TYC2,12.585,0.043,APASS9,11.3811,0.0029,EDR3,11.848,0.044,APASS9,11.305,0.128,TYC2,11.17,0.062,APASS9,10.784,UCAC4,10.575,0.01,CMC15,10.1541,0.0028,EDR3,9.539,0.001,SDSS9,9.0467,0.0038,EDR3,9.85,US-B1,7.6,0.018,6.964,0.044,6.715,0.024,AAA,2M,6.584,0.072,6.477,0.021,6.437,0.016,6.381,0.06,AAAA,AllWISE,SB1,,,,,,,,,,Karmn,,CARMENES+HARPS,No,,0.0,,FEROS,,(FastCam),Delta+,GTO,,2442996678074668288,23553981-0608327,9759680,3609.0,3669.0,4.7,4.98,True,../data/CARM_VIS_RVs/J23556-061.dat,,True,False,He3-burning,He3-burning
J23548+385,RX J2354.8+3831,-,,358.713658300636,38.5263396263287,23:54:51.46,+38:31:36.2,110.94190824769,-23.0244485571922,EDR3,M4.0 V,4.0,Lep13,3263.0,16.0,5.13,0.1,-0.55,0.09,Marf21,0.0104244,5.671e-05,Karmn,0.31948,0.00325,Karmn,0.31308,0.00995,Karmn,-132.064145710208,0.03407636,-86.1455864959332,0.024884645,EDR3,59.3946800642769,0.03095568,EDR3,16.83652473,0.00877496,EDR3,5.37189530069022,0.0265595005360228,Lafa20,1.3178313,EDR3,9.90138,0.01035,7.32842,0.02301,-5.95718,0.0111,Karmn,0.0095867448376202,0.0004809384675777,Wol17,UMa,Karmn,,,D,Karmn,=,3.6,1.5,Rein18,4.797959,0.0014629092,Rev20,-3.35,0.05,Sche19,-3.859,0.006,Sche19,J235452.2+383129,0.234,0.0287,-0.26,0.12,0.07,0.21,16.22,1.99,0.0119878085850164,2.99,1RXS,RV-loud,Sad21,20.759,0.272,19.678,0.093,GALEX,16.489,0.009,SDSS9,,,,14.784,0.05,UCAC4,13.4619,0.0058,EDR3,13.91,0.04,UCAC4,,,,13.184,0.06,UCAC4,13.167,UCAC3,12.573,0.05,UCAC4,11.8792,0.0029,EDR3,11.061,0.05,UCAC4,10.6477,0.0045,EDR3,10.22,US-B1,8.937,0.034,8.345,0.017,8.087,0.02,AAA,2M,7.93,0.025,7.782,0.02,7.652,0.018,7.801,0.207,AAAB,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,,CAFE,,(Astralux) [Bow15],Alpha,GTO,25-300Ma Shk09.,2881313793031884544,23545147+3831363,291689873,3247.0,3279.0,5.03,5.23,True,../data/CARM_VIS_RVs/J23548+385.dat,../data/CARMENES_GTO_TESS_lc/lightcurves/J23548+385/J23548+385_TESS_TIC291689873_S17.fits,True,True,none,none
J23505-095,LP 763-012,-,4367,357.63470522772,-9.56096439188992,23:50:31.64,-09:33:32.7,80.7770665497193,-67.3034255060156,EDR3,M4.0 V,4.0,PMSU,3377.0,34.0,4.83,0.1,-0.08,0.1,Marf21,0.0102982,9.653e-05,Karmn,0.29646,0.00613,Karmn,0.2888,0.0112,Karmn,634.56220603823,0.037466332,-426.025083033697,0.028018536,EDR3,58.7979214872597,0.048928242,EDR3,17.00740391,0.01415258,EDR3,-21.8708674092309,0.0240094661686138,Lafa20,1.2650676,EDR3,-29.62173,0.03983,-58.246,0.03108,-2.32874,0.02584,Karmn,0.214452407860733,0.0059982678535134,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,0.006,0.012,Sche19,,,,,,,,,,,,,,,,,,,,22.435,0.472,GALEX,16.696,0.007,SDSS9,,,,,,,13.6499,0.0049,EDR3,14.015,0.002,PS1,,,,,,,13.166,UCAC4,12.797,0.0,CMC15,11.9981,0.0029,EDR3,11.376,0.059,PS1,10.7543,0.0042,EDR3,10.32,US-B1,8.943,0.039,8.386,0.059,8.043,0.024,AAA,2M,7.898,0.026,7.77,0.02,7.653,0.02,7.416,0.133,AAAB,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS,No,,0.0,,FEROS,,FastCam (Astralux),Alpha,GTO,,2435125446129139712,23503159-0933320,9697711,3343.0,3411.0,4.73,4.93,True,../data/CARM_VIS_RVs/J23505-095.dat,<ambiguous>,True,True,He3-burning,He3-burning
J23492+024,BR Psc,-,908,357.306603823134,2.396917944196,23:49:12.53,+02:24:04.4,93.5674666869375,-56.885396454986,EDR3,M1.0 V,1.0,PMSU,3573.0,23.0,4.94,0.13,-0.55,0.08,Marf21,0.0255593,0.0002067,Karmn,0.41722,0.00563,Karmn,0.416,0.012,Karmn,992.720389028549,0.035269726,-968.806466326766,0.019325616,EDR3,169.21632962255,0.028058065,EDR3,5.90959515,0.00097988,EDR3,-71.131,0.0005,Sou18,1.1554246,EDR3,-8.81529,0.00467,-70.17176,0.00385,39.59608,0.00253,Karmn,0.2613655381290241,0.0005883831741319,Wol17,,,,,TD,Karmn,<,2.0,,Rein18,49.900001525878906,3.5,SM18,-0.023,0.014,Sche19,,,,J234911.9+022422,0.0512,0.0135,-0.31,0.23,-0.51,0.32,3.41,0.9,0.0001416125383568,0.08,1RXS,Flare?,Ger99,21.0,0.204,18.668,0.047,GALEX,15.318,0.015,SDSS9,10.886,0.058,TYC2,10.444,0.03,UCAC4,9.2166,0.0029,EDR3,10.246,0.25,UCAC4,9.194,0.021,TYC2,9.416,0.03,UCAC4,8.923,UCAC4,8.472,0.0,CMC15,8.1529,0.0028,EDR3,7.936,0.02,UCAC4,7.1208,0.0038,EDR3,7.34,US-B1,5.827,0.023,5.282,0.031,5.043,0.02,AAA,2M,4.967,0.199,4.512,0.123,4.765,0.016,4.654,0.031,BBAA,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS+SOPHIE,No,,0.0,,CAFE FEROS,,FastCam [WD15],Alpha,GTO,,2739689239311660672,23491255+0224037,267255253,3550.0,3596.0,4.8100000000000005,5.07,True,../data/CARM_VIS_RVs/J23492+024.dat,,True,False,He3-burning,He3-burning
J23431+365,GJ 1289,-,1289,355.78150915638,36.536310377293,23:43:06.31,+36:32:13.1,107.922838508812,-24.3364793268257,EDR3,M4.0 V,4.0,PMSU,3301.0,30.0,5.18,0.12,-0.1,0.1,Marf21,0.0056628,3.554e-05,Karmn,0.23008,0.00424,Karmn,0.21874,0.00965,Karmn,941.840666280804,0.05652775,-151.27152377977,0.04829269,EDR3,119.57940519812,0.05627809,EDR3,8.36264404,0.00393574,EDR3,-2.597,0.0197,Sou18,1.1618363,EDR3,-29.58052,0.01651,-19.17929,0.01857,-13.9257,0.00981,Karmn,0.1712607178375539,0.0040239959664293,Wol17,,,,,YD,Karmn,<,2.0,,Rein18,83.6,7.0,DA19,-0.877,0.009,Sche19,-4.44,0.005,Sche19,J234305.1+363226,0.105,0.0176,-0.44,0.14,0.41,0.28,6.28,1.05,0.0021672874924893,0.73,1RXS*,,,22.294,0.502,20.523,0.149,GALEX,,,,,,,,,,12.9132,0.0044,EDR3,13.264,0.001,PS1,,,,,,,12.291,UCAC4,11.972,0.0,CMC15,11.168,0.0029,EDR3,10.29,0.044,PS1,9.9025,0.0041,EDR3,,,8.11,0.029,7.446,0.036,7.226,0.02,AAA,2M,7.02,0.05,6.851,0.02,6.731,0.016,6.608,0.063,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,,,,FastCam,Alpha,GTO,,2879455480942629248,23430628+3632132,352593978,3271.0,3331.0,5.06,5.3,True,../data/CARM_VIS_RVs/J23431+365.dat,../data/CARMENES_GTO_TESS_lc/lightcurves/J23431+365/J23431+365_TESS_TIC352593978_S17.fits,True,True,none,He3-burning
J23419+441,HH And,-,905,355.480015258156,44.1703757007478,23:41:55.04,+44:10:38.8,109.98933805856,-16.9473504942603,EDR3,M5.0 V,5.0,AF15a,3186.0,41.0,5.15,0.18,0.04,0.17,Marf21,0.0023492,1.709e-05,Karmn,0.15908,0.00413,Karmn,0.14382,0.00917,Karmn,112.5274649335,0.036434025,-1591.64976181455,0.026793785,EDR3,316.481186782269,0.044448785,EDR3,3.15974548,0.00044378,EDR3,-77.764,0.0108,Sou18,1.0273284,EDR3,32.46441,0.00377,-74.59514,0.00973,0.30264,0.00442,Karmn,0.1849038691061918,0.0012658675240695,Wol17,,,,,TD-D,Karmn,<,2.0,,Rein18,106.0,6.0,DA19,-0.375,0.014,Sche19,-4.949,0.016,Sche19,J234155.0+441047,0.177,0.0238,0.15,0.14,-0.16,0.18,16.12,2.17,0.0017978635448043,0.46,1RXS,Flare?,Ger99,,,,,,15.619,0.005,SDSS9,,,,,,,12.5464,0.0035,EDR3,12.99,0.003,PS1,,,,,,,11.881,UCAC4,11.682,0.001,SDSS9,10.3793,0.0028,EDR3,9.278,0.001,PS1,9.017,0.0038,EDR3,8.99,US-B1,6.884,0.026,6.247,0.027,5.929,0.02,AAA,2M,5.734,0.16,5.427,0.057,5.396,0.015,5.249,0.035,BAAA,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,CAFOS,,,(Astralux) [LuckyCam],Alpha,GTO,,1926461164913660160,23415498+4410407,2041185141,3145.0,3227.0,4.970000000000001,5.33,True,../data/CARM_VIS_RVs/J23419+441.dat,,True,False,none,none
J23381-162,G 273-093,-,4352,354.532687263819,-16.2365136302724,23:38:08.16,-16:14:10.2,61.8454368720528,-69.8252197396376,EDR3,M2.0 V,2.0,PMSU,3570.0,22.0,5.07,0.12,-0.35,0.08,Marf21,0.0194513,0.0001128,Karmn,0.36458,0.00462,Karmn,0.361,0.011,Karmn,-280.626886127978,0.024752297,-77.9707421565413,0.018421061,EDR3,76.0983640250171,0.021489777,EDR3,13.14088697,0.00371092,EDR3,20.4707488022376,0.0230063354980151,Lafa20,1.1182766,EDR3,20.83918,0.00593,8.93373,0.00745,-15.30223,0.02165,Karmn,0.0260652449658284,0.0004706331819992,Wol17,UMa,Karmn,,,D,Karmn,<,2.0,,Rein18,61.66,,Wat06,0.014,0.009,Sche19,,,,,,,,,,,,,,,,,,,,20.918,0.141,GALEX,,,,12.283,0.193,TYC2,12.83,0.02,UCAC4,11.5592,0.003,EDR3,12.088,0.01,UCAC4,11.602,0.142,TYC2,11.288,0.05,UCAC4,11.059,UCAC4,10.696,0.02,UCAC4,10.343,0.0028,EDR3,9.634,0.03,UCAC4,9.2447,0.0038,EDR3,10.86,US-B1,7.813,0.018,7.212,0.049,7.003,0.018,AAA,2M,6.852,0.038,6.698,0.022,6.662,0.016,6.524,0.084,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,,FEROS,,FastCam,Alpha,GTO,,2395413147718069504,23380819-1614100,434106275,3548.0,3592.0,4.95,5.19,True,../data/CARM_VIS_RVs/J23381-162.dat,<ambiguous>,True,True,He3-burning,He3-burning
J23351-023,GJ 1286,-,1286,353.797069437715,-2.3927993943669,23:35:10.46,-02:23:20.6,83.2605782845797,-59.2591523718576,EDR3,M5.5 V,5.5,PMSU,3136.0,38.0,5.27,0.17,-0.13,0.17,Marf21,0.001481,7.852e-06,Karmn,0.13037,0.00318,Karmn,0.11352,0.00859,Karmn,781.418668519508,0.053010795,-841.516051594594,0.03575098,EDR3,139.338893532377,0.04413923,EDR3,7.1767471,0.00227342,EDR3,-41.0559674258505,0.0200114080276227,Lafa20,1.1472371,EDR3,-11.91317,0.00881,-53.19092,0.0128,15.51724,0.0178,Karmn,0.2183382900508909,0.0010045133942191,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,-0.821,0.015,Sche19,-4.665,0.008,Sche19,,,,,,,,,,,,,,,21.594,0.127,20.418,0.056,GALEX,18.253,0.021,SDSS9,,,,,,,14.9521,0.0041,EDR3,15.349,0.001,PS1,,,,,,,14.522,UCAC4,13.998,0.004,PS1,12.6237,0.003,EDR3,11.993,0.029,PS1,11.2459,0.004,EDR3,,,9.148,0.021,8.505,0.033,8.183,0.02,AAA,2M,7.972,0.023,7.796,0.02,7.608,0.02,7.278,0.133,AAAB,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS,No,,0.0,,,TCP,FastCam (Astralux),Alpha,GTO,,2640434056928150400,23351050-0223214,471016474,3098.0,3174.0,5.1,5.44,True,../data/CARM_VIS_RVs/J23351-023.dat,,True,False,none,none
J23340+001,GJ 899,-,899,353.509479829743,0.17524273262486,23:34:03.33,+00:10:45.9,85.5048784692324,-56.9627188178184,EDR3,M2.5 V,2.5,PMSU,3530.0,21.0,4.91,0.09,-0.25,0.08,Marf21,0.0263392,0.0001302,Karmn,0.43392,0.00527,Karmn,0.434,0.012,Karmn,-993.091286898187,0.02545734,-937.702601927091,0.022047991,EDR3,71.2339303994431,0.022930454,EDR3,14.03825388,0.00451896,EDR3,-4.555,0.0244,Sou18,1.1814288,EDR3,87.77071,0.02107,-23.46208,0.02166,-5.31557,0.02331,Karmn,0.5893570203327487,0.0072938973833495,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,0.081,0.009,Sche19,,,,,,,,,,,0.49,0.1,0.0001108272063248,0.04,EPIC/XMM-Newton,Flare?,Ger99,,,20.877,0.234,GALEX,15.363,0.007,SDSS9,12.822,0.309,TYC2,12.609,0.01,UCAC4,11.3974,0.0031,EDR3,12.084,0.001,SDSS9,11.236,0.103,TYC2,11.037,0.01,UCAC4,10.8,UCAC4,10.477,0.02,UCAC4,10.1767,0.0028,EDR3,9.566,0.001,SDSS9,9.073,0.0038,EDR3,9.51,US-B1,7.664,0.024,7.07,0.034,6.828,0.02,AAA,2M,6.727,0.069,6.549,0.022,6.541,0.016,6.318,0.07,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+SOPHIE,No,,0.0,,FEROS,,(FastCam) [WD15],Alpha,GTO,,2644439955745152512,23340328+0010452,422604600,3509.0,3551.0,4.82,5.0,True,../data/CARM_VIS_RVs/J23340+001.dat,,True,False,He3-burning,He3-burning
