,all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,freq1_amplitude1,freq1_amplitude2,freq1_amplitude3,freq1_amplitude4,freq1_freq,freq1_lambda,freq1_rel_phase2,freq1_rel_phase3,freq1_rel_phase4,freq1_signif,freq2_amplitude1,freq2_amplitude2,freq2_amplitude3,freq2_amplitude4,freq2_freq,freq2_rel_phase2,freq2_rel_phase3,freq2_rel_phase4,freq3_amplitude1,freq3_amplitude2,freq3_amplitude3,freq3_amplitude4,freq3_freq,freq3_rel_phase2,freq3_rel_phase3,freq3_rel_phase4,freq_amplitude_ratio_21,freq_amplitude_ratio_31,freq_frequency_ratio_21,freq_frequency_ratio_31,freq_model_max_delta_mags,freq_model_min_delta_mags,freq_model_phi1_phi2,freq_n_alias,freq_signif_ratio_21,freq_signif_ratio_31,freq_varrat,freq_y_offset,linear_trend,medperc90_2p_p,p2p_scatter_2praw,p2p_scatter_over_mad,p2p_scatter_pfold_over_mad,p2p_ssqr_diff_over_var,scatter_res_raw
all_times_nhist_numpeaks,1.0,-0.43695701669619963,-0.4243302370273247,-0.16723936688695748,-0.2702923425719086,-0.17754997147938265,-0.2923013386900624,-0.3796059409759516,-0.2560737776869146,-0.3925511664494992,-0.31308389869721104,-0.13965194187326005,0.0052671824401554716,-0.1239298086360521,-0.14881599251359937,,0.010810531662432612,0.07666625684620325,0.08012174122560443,0.10329014365969143,0.10369532839280209,0.12104313462695437,0.14290169834995406,0.14310018681838071,0.15932601742037886,0.14998972529264465,0.02673670376966798,0.04397083275247107,0.24386946332239398,0.2920316415639989,,,-0.2649187660122111,-0.029951478548063275,-0.41359394943415345,0.039569750286277364,0.18483589011221696,-0.12310899076942956,0.02863610882553917,-0.006696651719874424,-0.05278439268096839,-0.08270199474296273,0.1367817734854603,-0.12363448106600414,-0.08200992376143092,-0.134367392717625,-0.20362468827255673,-0.18175363275220832,0.04833646360576107,0.1334246653656487,0.12026195238914991,0.1801061444945949,-0.07931310441141891,-0.0275574314902755,0.03483894681232363,-0.002432910897772033,-0.08910149274975167,-0.15335079214698719,0.18942430850128986,-0.09633608470284258,0.04608448795786898,0.03487106942762732,0.00532963183862281,0.11109291329171243,0.1255752374601429,-0.13563096462068733,0.14186396369232235,0.2550087244728434,0.21353826101585616,0.16480334195482665,0.12167384552553032,-0.05103340389496933,-0.1096134278998939,0.08150001768414811,-0.05893090786379341,-0.056291141345509395,0.18942309640408728,0.29745860439118654,0.12625739246895487,0.18728160765490423,0.14477177321669996,-0.062414630987036,-0.059101672551487044,-0.13075271573063948,-0.03199775687581999,0.286171495208407,0.1321052938435841,0.15173897571600972,0.2314292417919759,-0.08668251212277711,0.03762385961741871,-0.1576023867605762,-0.019466926302470496,-0.1265036565678696,-0.09908479369795434,0.0009070921037744008,0.054547565533976286,0.07665655696175092,0.08011770391477499,-0.009250214850254037,0.04064356860284734,-0.26371163842095385,-0.28223303028777824,0.06794951293305768,0.05261814169914636,0.09183744957383407,-0.13552412904215327,-0.017166562202792314,-0.20208892312337576,-0.21874460434045515,-0.09121322728819753,0.018386184903726316
all_times_nhist_peak1_bin,-0.3981450064994195,1.0,0.15904692495907982,-0.10817700257185518,0.007254833013971794,0.09219539225416261,0.009228358975582973,0.060687256950413715,-0.04093832925860223,0.02457884484448449,0.11752987474945242,0.10208041183987959,0.047020976517024686,0.020213326195542888,-0.006442924495691975,,-0.05618859189092504,-0.05504874830152211,-0.06089057779354998,-0.03759825466762297,-0.036990299347602736,-0.03332188398732904,-0.0398138363260648,-0.0400498941592036,-0.13621508443249225,-0.14174451245609962,-0.04069409627099195,-0.08116266564965237,-0.20100747503702748,-0.09039746578727419,,,0.17080302838944317,0.06473792543742594,0.2817977273143904,-0.008064764861413273,-0.16459619382452215,0.06757908647168667,-0.1952288111434864,-0.051613237255209006,-0.042675330989090446,-0.010924350279140356,-0.1188119489442205,0.12817137820967026,0.08988125367874619,0.09363176498636139,0.06101505292381305,0.07317641241115189,-0.022106704143993815,-0.08042546844235275,-0.1790899502975073,-0.06568871600107438,0.12503902320338672,-0.051405988589764084,0.020258393834790382,-0.14376583484205976,-0.028125949267488706,0.02391548354820745,-0.08835265148358643,0.048999891723346886,-0.004284372414146872,-0.009370557701878902,0.009195232128514372,0.01386894490959395,-0.180639843620349,0.024874198982952914,-0.062129671976364195,-0.06138500001371392,-0.09353777871113363,-0.1419783620599515,-0.12719002196193122,0.10317484746840304,0.07893706331049952,0.07119607783523192,-0.04779044650697711,-0.0009514375741716082,-0.23533190890371067,-0.16753775793544287,-0.06653044309800416,-0.18880530178059562,-0.13750419017756563,0.17936012885017127,0.043170119222144206,0.031974369514067694,0.013090516439811229,-0.18339232859109725,-0.10849344619980321,-0.15436513409794486,-0.12223554144219385,0.18773513982584655,-0.011199962330133605,-0.08208309041783206,-0.011695848183934352,0.04221609795676977,0.033718086557988004,-0.07669656282923952,-0.06354174856300972,-0.04447678417409309,-0.07431327959838253,0.06639748743110925,-0.06945564269260797,0.19483057738444326,0.2026037523123643,-0.2039021487519156,-0.044349423386847796,-0.05272804809832107,0.08542613013876613,-0.015360628461465981,0.07878617249147954,0.12327937233133059,0.014055310360195996,-0.1664332393138172
all_times_nhist_peak2_bin,-0.41244124350821765,0.15451236537183904,1.0,0.17477575651718685,0.03578359188933805,0.08095816534187449,0.12492511831456775,0.09814643617401944,0.13062563542039832,0.11727578327357698,0.06336832927488095,0.02317177527866744,-0.04374163809262766,0.07173190792908105,0.059100103874799866,,0.02340528562677922,-0.030238086993052346,-0.040399359676296646,-0.031161684532056876,-0.031119507805672957,-0.035610161124869116,-0.0688162276480274,-0.06923139629234727,-0.22560190334048177,-0.20270622876303196,-0.08982204950578958,-0.10811728864376026,-0.17685751198927288,-0.23074817213308155,,,0.23242021411609406,0.008392759217031106,0.3318855670868399,-0.03914850336361432,-0.12061143785490414,0.04400574087315005,-0.1268698133718775,0.05143500971678352,0.043306556858964666,0.013878859221766352,-0.14970390028744926,0.057497782184482836,0.0721704319742077,0.062422634477034264,0.04241272863159105,0.08650634600723481,-0.12701407919483712,-0.16016008504284787,-0.09728583517008353,-0.073176780693923,0.06421484002736144,-0.028304799098172087,-0.006691232427076474,-0.13278683097140379,0.08195830278159609,0.08299533579410429,-0.09385938020383609,0.04550503451993471,-0.07589145682693375,0.010803111426011718,0.045735785743050324,-0.04140051345262503,-0.009551104497255682,-0.022228616507153163,-0.011648356705901471,-0.09340683214228139,-0.15755045735505943,-0.08939327401220246,-0.029112985363842974,0.14954717751789323,0.0017649659410547858,-0.015137049417067193,-0.0010475050146723926,-0.12139535050218916,-0.18563396255995956,-0.17166333668331224,-0.13912442274307257,-0.10585335325704535,-0.07533034602652215,0.09448794096703526,0.056233580838905756,0.03779541104003988,-0.023929617320295395,-0.20320027105453126,-0.14311745250693664,-0.17228103976142367,-0.23435414182749836,0.055061107612795195,-0.002832812660826152,0.09452164473630045,0.11263530603440386,0.03678572037014703,0.025433611946177534,-0.03028456047602394,-0.035953689461002504,-0.06418296936740499,-0.07082738374710205,-0.006009946561463237,-0.07692579926311839,0.18822353595381958,0.23037616806726005,-0.1542766130407055,-0.0011551160889617877,0.0034780108313997977,0.13275414926868012,-0.1275456817691821,0.12262929543597698,0.04994221011216359,0.10933299432568165,-0.0978360014373151
all_times_nhist_peak3_bin,-0.19459784873646244,-0.04348656488705746,0.18509320347453903,1.0,0.1136915370324978,0.03329951348527389,0.06374742304448738,0.19772588093076118,0.042423705984843026,0.18998895139632538,0.20590947725050338,0.1270421283014215,0.051482309104860596,0.1363345598220354,0.07190274835018566,,-0.05572610394989739,-0.07751943815943198,-0.08137303715329779,-0.055607613047971155,-0.0543740613298401,-0.03664260165891046,-0.04343059743843604,-0.043420957062416436,-0.04738633363779583,-0.0687099142061393,0.07217333431526779,0.13978414639592215,0.07400690011775266,0.05271027863764113,,,-0.10172026684918827,-0.18052506495635787,-0.020507193820741742,-0.006515201133003069,0.05129683317606623,0.12949585096677887,-0.07609629106328736,-0.04841404392163973,0.11170325808044365,-0.09116987436482323,0.07863360636074583,0.040078628642772514,0.08695343364807923,0.12408581599294781,0.09364416831430497,0.0370154327844474,-0.042650136396191814,0.11196105646023206,-0.08954007272660278,-0.08658305700929989,0.01013714329937908,-0.007034880038965174,-0.20934702521948578,0.06553551245258986,0.09410091737488188,-0.0068775637231538985,-0.13377386127539284,0.09907925536276442,0.12260094377227038,0.06752055836657601,0.017919758461891894,-0.18715117252036848,-0.05012704202208337,0.010753503294151671,-0.05105021636275919,-0.05034778343041421,-0.08613055976366886,-0.059726339420502074,-0.0823286567260707,0.0779834200540102,0.12444770187089964,-0.09169858966207768,0.07714304305417136,0.03936579181263082,-0.0670016958355707,-0.06279946839950962,0.015231276897888345,-0.005601166820805884,-0.03136860078893779,0.06815096499102397,-0.10914540098628989,0.03016432686243738,-0.0542824990914329,-0.07195438799217335,-0.13056083199669358,0.015302268399890762,-0.13786453810637686,-0.03503624311971703,-0.1691843160804135,0.12307666867283128,0.12385642620705169,0.07565139599648689,0.07299188605475881,-0.0486377080842363,0.08544579646508584,-0.01762824888462444,-0.07225267329557238,0.02564863637923534,-0.08035215953113267,0.021337235982379552,0.005310221652806632,-0.025992127204645252,0.056651134051527066,-0.12246795165679575,0.08129206113400068,-0.17271220108211285,0.1287056194343282,0.10940216933817909,0.045254837916616636,-0.01715851002359196
all_times_nhist_peak4_bin,-0.3015392672974844,0.026654171468996873,0.038814568351222614,0.11744072626847255,1.0,-0.016574431980357116,0.10854138828302273,0.07965885222261042,0.1390993197150122,0.11181157859087124,0.00551676487614632,0.061209896378071976,0.011388745012260804,0.14778877002768845,0.18812458900679915,,-0.01934831374053586,-0.06727966256343208,-0.08531419056258364,-0.037387749110763084,-0.039156033890195646,-0.05183763811813136,-0.04965049237421484,-0.0505320890060861,0.030784811906344155,0.04319674748555059,0.023975107991778582,0.06092195638689815,0.07064681080430237,0.08183014667398367,,,-0.05456849470119617,-0.10572747212442075,-0.027844610378559762,0.02923270391575031,-0.04581021932762565,0.14915260438267483,0.015138785244308069,-0.01164272985780399,0.12322716490406684,-0.07647608142775436,0.13237397008261353,-0.06273469616737226,-0.0858952295938661,-0.042270116842898046,0.03168099848123756,0.08423906615026498,-0.04926436013564901,0.1277711781210481,0.07422936748441951,0.05546090741234251,-0.08024479624715698,0.025523878640103338,-0.01776416957090803,0.13955328753633006,0.11975125171152325,-0.01136828244107794,0.03490040423351384,0.15965471196572512,0.08437124088945366,0.1577935912661077,0.1347956167964449,-0.1600055270775377,0.0021773513501880046,-0.02447017864433353,0.006953413656702638,0.024617075745724172,-0.07875386011738306,-0.04203412865520862,-0.027800724497340213,0.06722683508130058,0.0645648071323176,0.10060537099955234,0.004043610393130136,0.11709352702676916,-0.02607329072399202,0.07123453745184277,0.04396162914873678,0.05767142040566733,-0.0034657368298080158,0.1816083166755851,0.11453141522118203,0.10166560295088882,-0.019500933629177562,0.06453906736256232,-0.008152907899737254,0.06569245053193482,0.03585661009590814,0.09000820704513735,0.04337610335107608,0.08416977393122586,-0.0038210383959243754,0.053553883346876247,0.015496504393292516,-0.015585370113753851,-0.023840329808197846,-0.03708367986050274,-0.06536201982514613,-0.01674306870059655,-0.04611096238821881,0.02837028534854781,-0.01466666597778837,0.11255803526152389,-0.01252417502458163,0.03014517148499344,-0.08434761629771537,-0.012560960749936782,0.06300817887682303,0.07030736021393327,0.1070091540942363,0.10219362015083362
all_times_nhist_peak_1_to_2,-0.24586615501160752,0.15599531594493976,0.08357430116516573,0.0810263643993127,0.05866227118710305,1.0,0.612722633287385,0.5553384812382166,-0.060422225019022474,-0.04384612145194527,0.03655411695107311,0.05757115521020965,-0.5381933476819051,0.016886264587039547,-0.10837207842531502,,0.5412553539077981,0.5459638676736099,0.5238947016543192,0.4892116885448304,0.489486685189665,0.48277147174128443,0.41780908391848937,0.41818929619385997,0.100740769396509,0.10772419905723055,0.10149051951403791,0.07133192837099216,-0.07948949075880547,-0.08345913902791639,,,0.01248084778084456,-0.07684260769047409,0.08958408557580551,-0.03410607995678619,-0.04332571193532481,0.0496123127962648,0.27631344606703717,0.538442583889952,-0.01477322773159703,0.09604929362617287,-0.026275016003332805,-0.008611166693330966,0.0008122391378443743,0.007947036632872568,-0.0008384384480627088,-0.010535736158547086,0.02029039073426103,-0.01464825427512501,-0.01137040405037569,-0.0028019210566145743,0.03254189690894896,-0.02369313146190657,-0.053773610892901225,-0.050130991913648004,-0.042181460807107614,0.012795380248880744,-0.11704974091497454,-0.009804170671037827,-0.03045129840247406,-0.053133583536042396,-0.03797635068301516,0.06061015070726722,-0.013853711984963109,-0.10396070196073356,0.020007215254897095,-0.028987773841234375,0.1533240866231699,0.42332040630119144,0.4526711885769149,-0.020596205401115897,0.05020890874327895,-0.013021790965231834,0.10838164469320308,0.07051618874544725,0.3235928083287299,-0.07230775817844448,-0.05200880807577172,0.0705151983728521,0.24672590218147067,-0.05737791223252064,0.01362774785173436,0.15571157606381783,-0.1210259704931739,0.011886832747501718,0.03023984854661474,-0.053688813225071214,-0.006082847883672365,-0.09305531829567239,0.053626974631377416,0.08567340374179949,-0.11946417624999243,0.026993443535094946,0.06918115189650972,0.05130640924693365,-0.04441458898718867,0.047739652034133356,0.13435085403001762,-0.19847166082799828,-0.04436677634316757,-0.09709002874500118,-0.1042540122661906,-0.04225389125022288,0.032776953495549876,-0.0303037347681671,0.01858190337195689,-0.03883244484441753,-0.036281148696526336,-0.02715278281226043,-0.08727845679502094,-0.06929273511728425
all_times_nhist_peak_1_to_3,-0.36805718081373884,0.08166256870276976,0.17313706316585284,0.020191542138247726,0.06955941588932868,0.6747518403430279,1.0,0.7805636439933455,0.7372225832834362,0.5233355115227162,-0.000737268034349798,-0.0021314957348142994,-0.2914584157254758,-0.018268093523042865,-0.07522898768623519,,0.28619249266471153,0.2985940111943587,0.2915477760465726,0.2624998534862473,0.2621038677473487,0.25991592988551826,0.2260141893656338,0.2260796516160197,0.05718317684843495,0.12038150149446457,0.1253712227597216,0.07982935361113606,-0.0784018101283989,-0.09580454792886701,,,0.002557532025020488,-0.08174720290734035,0.10131534749347254,-0.007295559279891162,0.04149202234705767,0.01641020480124194,0.19134564208119736,0.2915145368643128,-0.04217146310917999,0.13888003025984344,0.07299062187435042,-0.05414501071754655,-0.058492585553101925,-0.0734691058815824,-0.06001375549303112,-0.03613887641910573,-0.0004932365931478054,0.08813026668662803,0.017920742764583976,-0.012656281436656753,-0.01549691720143961,-0.023912149017743602,-0.09658218829934476,0.07701320376318486,-0.05083664999773456,0.07604583208164767,-0.023326703291819434,-0.026083600998314308,0.07590543405417267,-0.016863365387223418,-0.02885218855870919,0.0003090454804781388,0.018230963561200103,-0.07939139652040716,0.0002466212825574534,0.0014440993659994225,0.11855112127744111,0.2476854107378533,0.23524176903887573,-0.05115458420642345,0.002980035913990253,0.01156511482758437,0.1231547062532688,0.026581088407666348,0.2170078248196393,-0.02035935030362578,-0.008007875216311506,0.00948417847091307,0.1799448636804833,-0.11225298420678735,-0.0815115588781592,0.0703923851832033,0.0134343266280105,0.05459162234024465,0.04414073117930691,-0.024252169943866194,-0.012144074270945921,0.03958763317348233,0.057530068729203125,0.1379307093608454,-0.1165775910399382,-0.026411849776582414,0.03393666692695242,0.0501484130434093,0.020464535726529343,0.023739780840837138,0.08530825274777604,-0.1029431106162299,-0.05902307632691855,-0.13629086197192022,-0.14012449698879265,0.01904313235667708,-0.04021408186107123,0.019376975802827615,0.008409591936739397,0.0020581676384081615,-0.03913264164839843,-0.036931368066243496,-0.10014632134722817,0.039108910901121945
all_times_nhist_peak_1_to_4,-0.4735135979267676,0.07647552646731559,0.1735465130859838,0.14008675596872652,0.04554235524400187,0.5670812791556862,0.826717886668961,1.0,0.5324004083654145,0.7615173145896325,0.5403629574195175,-0.1167947474147438,-0.18856991593745276,-0.016409237820472745,-0.020680339342267314,,0.1854966344276714,0.18496096400690631,0.1781995151656042,0.15174511104543514,0.1517914027119944,0.1535348478847342,0.12249755803186825,0.12259229031279889,0.024516243364485976,0.09075322637078694,0.1563184382948552,0.1186868385407334,-0.017187159036478866,-0.09357356025957242,,,-0.02848512156376329,-0.11449588993287646,0.10055633736794989,-0.036277397511404574,-0.0073390300336768095,0.07465389892879469,0.17788980673700433,0.18878512940979886,-0.04648756217023579,0.149785202365072,0.06312886282536495,-0.0398827183117074,-0.03538354472541253,-0.059022274527243394,-0.0709402007330292,-0.015388035079342631,0.014556724104738626,0.06358435083685016,0.0014412460351707907,-0.05341335822964354,-0.03411885197601432,0.00045138136224211466,-0.15926657802252037,0.09121178070134675,-0.056286249840232956,0.13802805871518312,-0.0955191604148386,-0.048361140484923966,0.03701113263089609,-0.05310553725349384,-0.06758226690808804,-0.026325430506949885,-0.016659498111255153,-0.028076014464557892,-0.01869587553819905,-0.0231426589651588,0.010337323294957516,0.17623781686380438,0.12612154073730397,-0.04072587035431208,-0.14147808151371088,-0.005586386102015445,0.07879408349443928,0.10255930643876564,0.19091546830235728,-0.03358461151342376,-0.010831768198240553,-0.024706421291978947,0.12013232713232282,-0.08318137858665717,-0.06845629146628204,0.07262383877806429,0.013245799322272473,0.058964888083659184,0.018817628699665398,0.022727116844711116,-0.005071121772036739,-0.03941937843129543,0.01408097598295204,0.057542141278241137,-0.1432613228548254,-0.05386805625601404,0.06832462370691962,0.008319045217406038,0.03539323597205345,-0.0002809310347946036,0.04394845209073372,-0.0849424004023342,-0.01430176422136403,-0.16774558989166607,-0.18128373377165807,0.03953737633332809,-0.034822997114797805,0.11137212691154653,-0.006565719067097962,0.02365011498563111,-0.04607457651952571,-0.05956502601449587,-0.11133309920855249,0.042047877633971026
all_times_nhist_peak_2_to_3,-0.2089026561049891,0.04485321610713531,0.14747743423762752,-0.10346282655981433,0.06057327864035703,-0.02005943566720176,0.6059474948784546,0.4937510265663306,1.0,0.7277900521890605,-0.009810447534706843,-0.043143504230334986,0.034672553647766786,-0.037528796780007735,0.0051628563736688185,,-0.04631393526668451,-0.05099087879987206,-0.04711071096975096,-0.057817027705231845,-0.05867280457023599,-0.0589172486131143,-0.05266343285794707,-0.05292901029185146,-0.02280537892690525,0.04457490652952572,0.06324958840189498,0.03456991718261912,-0.058241756679545655,-0.11703086429993359,,,0.03899770049091786,-0.02502262102288454,0.11845018609688483,0.03038228030104591,0.019656520821423305,-0.018648935760249646,0.01742647365261425,-0.03451064740449919,-0.044934931035054484,0.09054480107581465,0.09655770113614283,-0.03484860780625607,-0.053484920064919145,-0.0826908697529001,-0.06280040434349414,-0.020914161185476423,-0.021261852068432216,0.11128210500298447,0.04144651795490348,-0.023292971804712813,-0.028862845497077804,-0.011275222862674393,-0.08978263555269667,0.12295702449207936,-0.03530579724578001,0.12486749948532365,0.05600465526917888,-0.01774204110045463,0.11918571561098652,0.01919945605831867,-0.001004337280578715,-0.0593438986172548,0.038002832967359144,0.03202874802104703,-0.04541042886622039,0.01678704456233646,0.025351387133220705,-0.03266828167892363,-0.054686572854190936,-0.051989020981024606,-0.035306203409776235,0.008835803028773294,0.055298275272830606,-0.017907260858754243,-0.007082953814709452,0.00670307560807472,0.028510769135604064,-0.046212258122868215,0.024400254552089617,-0.08782931642108989,-0.11104756827248646,-0.038838379619618606,0.10250348495480661,0.0345474361336162,0.004810887993883637,0.012061931699412198,-0.01983369836466385,0.11512809298576226,0.03353237123400415,0.11150635257844972,-0.04283640137236446,-0.0411551477521642,-0.010031849921258421,0.006028191800606669,0.058482334181118326,-0.012324191610109798,-0.0065414578643602,0.018487973926548957,-0.04365043724729725,-0.06657393314331206,-0.06709861799644767,0.03515617169288527,-0.08287120951502448,0.04642530025744237,0.05130535200194516,0.07281591477541938,-0.00796576125889756,-0.01979092333467996,-0.06569715392848528,0.08384156539468947
all_times_nhist_peak_2_to_4,-0.44494601243293,0.11257011613000541,0.15220386123167742,0.13533462236521537,0.02738184744598636,0.038977856906271445,0.509523602925945,0.7796484459664577,0.6690362735497531,1.0,0.6292948363947406,-0.10748967684484946,0.04781558298290533,-0.0070009404589554515,0.05721231352458858,,-0.05548225258327218,-0.07421454685720459,-0.07606759621407495,-0.0906101697354792,-0.09081870641282998,-0.08837440192044957,-0.09386127846682221,-0.09399439836966482,-0.007446025426215558,0.06409298198961501,0.14548199688510263,0.1167979365347861,0.007636746903913793,-0.09109434652500593,,,-0.027756412638981477,-0.09696785773670409,0.08820594097476635,0.03235916066419889,-0.02792921869880206,0.08625182597945207,0.07824884702279979,-0.04711441194488096,-0.04294470203513982,0.12142262633470484,0.10721966080356432,-0.028987784718360686,-0.03082294974123018,-0.06520279704219842,-0.07975567488967714,-0.01566596046028994,0.008080455914518198,0.1039200421009988,0.02493369418609492,-0.06351620597319471,-0.06432540278727333,0.020622100845704164,-0.1362218410673819,0.1827924950760726,-0.05119942820189226,0.17541412402766013,-0.04788080993727556,-0.009568944070189201,0.08342817831584191,0.001214968220420971,-0.026213457921072884,-0.10600175887834834,0.010302593531887163,0.05996266311152272,-0.054926997085197965,-0.022425619693470733,-0.07248977772580995,-0.020080125882816578,-0.09370273630634263,-0.033247776975243754,-0.09119460670465387,-0.002085373732072178,0.025545274673411725,0.049463656477034254,0.04109936693201774,0.007535473249453921,0.027109767510948235,-0.06802240733193018,0.006331354521673338,-0.10606473149076237,-0.0534745642931892,0.029165227682138934,0.09839084410414108,0.061647952093858524,0.005135770266505872,0.08168933516990838,-0.006255132561995481,-0.0005946720175408453,-0.03544049522487744,0.07118328872553305,-0.07114161956317261,0.0025436886294640036,0.08564727574157721,-0.02824595591666779,0.07643478780708685,-0.03485022407221874,-0.035767982516308326,0.017062941522177754,0.034416180282506446,-0.11218805632282305,-0.12058805614285024,0.10664682578405794,-0.057048057593183134,0.06614957879030506,0.011416167213443509,0.07411051893339082,0.07410764359093941,0.056290770975634896,-0.09623023859548561,0.11414148859322769
