,all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,freq1_amplitude1,freq1_amplitude2,freq1_amplitude3,freq1_amplitude4,freq1_freq,freq1_lambda,freq1_rel_phase2,freq1_rel_phase3,freq1_rel_phase4,freq1_signif,freq2_amplitude1,freq2_amplitude2,freq2_amplitude3,freq2_amplitude4,freq2_freq,freq2_rel_phase2,freq2_rel_phase3,freq2_rel_phase4,freq3_amplitude1,freq3_amplitude2,freq3_amplitude3,freq3_amplitude4,freq3_freq,freq3_rel_phase2,freq3_rel_phase3,freq3_rel_phase4,freq_amplitude_ratio_21,freq_amplitude_ratio_31,freq_frequency_ratio_21,freq_frequency_ratio_31,freq_model_max_delta_mags,freq_model_min_delta_mags,freq_model_phi1_phi2,freq_n_alias,freq_signif_ratio_21,freq_signif_ratio_31,freq_varrat,freq_y_offset,linear_trend,medperc90_2p_p,p2p_scatter_2praw,p2p_scatter_over_mad,p2p_scatter_pfold_over_mad,p2p_ssqr_diff_over_var,scatter_res_raw
all_times_nhist_numpeaks,1.0,-0.4270804815845492,-0.4074238259082989,-0.2155938109658499,-0.26910793975400416,-0.1738450422830117,-0.2743908880111461,-0.37159148490356464,-0.2396273670977166,-0.39594981646947464,-0.304331150262097,-0.15012582815068468,-0.0007280194065408312,-0.017041628535004752,-0.06398997837063042,,0.02459528770798351,0.10484750973894605,0.08898559411390827,0.09336398034222505,0.0942937926723304,0.1026083431119324,0.12126848811489416,0.1219984408003184,0.1875367002633333,0.1839645753204904,0.04808990631522958,0.0369357870915731,0.25051926623736376,0.3038595468334263,,,-0.27553227548003817,-0.037877744640537656,-0.42551199228879244,0.005442920927245911,0.19959680959569193,0.01438963825791735,0.05129029220891954,-0.0012613475434174745,-0.028638854393681877,-0.07233011606146124,0.05183215039331866,-0.07174582254639188,-0.10382186443105493,-0.1220446002033041,-0.11804135315040584,-0.07808094839928466,0.07768811684016119,0.07774930138868305,-0.022375778446678624,0.019209702874621492,-0.024416153230436922,0.008810643351149073,-0.12931059670349734,0.11028413092030684,0.008810643351149755,-0.2401519766140597,0.007136178346862793,-0.04093053691260445,0.023471749621652212,-0.0070835320319654485,-0.021641101840722057,0.08058316597123848,-0.005739571608757175,-0.02236061002419223,0.024573657574792105,0.044736574915447955,0.13284307922993746,0.18792969858322697,0.12952388021827493,0.016753477673991105,-0.17762294726045122,-0.007187817495813524,-0.06251470111540916,0.012617891095208514,0.3199879333047324,0.1422076595062306,0.14430610108204406,0.1756707122669177,0.14748365587448933,-0.026736060125867756,0.009910161495760931,0.0172649815465537,0.010407905935701879,0.21484710743007726,0.19589213859101456,0.16890154261478846,0.19377168385067972,0.0063414546074440255,0.01781277108722971,-0.04512598695972271,-0.016990055580337005,-0.09652421766341981,-0.05517710064590825,-0.0684834599504377,-0.04782911542794358,0.06639898212549747,0.05126647872141009,-0.04909541184997029,0.02896642716007561,-0.27588440311369566,-0.256148788817103,0.2083428654742279,0.0025588418361377724,0.09551393328748645,-0.08894317496097093,-0.07744105974343127,-0.147726591569699,-0.12974437445819478,-0.1253607278349705,0.113561487889368
all_times_nhist_peak1_bin,-0.39740973012222136,1.0,0.1372424715606348,-0.13696656603981142,0.018467514189589834,0.123394064062515,-0.0006710483624996508,0.07743898198079738,-0.06974246031110098,0.01601839683915608,0.12167016323809392,0.10736232133249263,0.030522940029804053,0.0047102242933260135,-0.008976592602318909,,-0.04304769616082781,-0.043680741866038375,-0.03502305219529158,0.002985498180103666,0.005184857532392317,0.013290307190837732,0.022885284713729404,0.023652704838185358,-0.10011448698999979,-0.11699858941348905,-0.018225194111111533,-0.054700628093096226,-0.19759234855178173,-0.088846647393773,,,0.1517128150933707,0.04526021962184376,0.2712278874248036,-0.03072320397442909,-0.17340744162720073,0.007038794729209227,-0.18655082004343276,-0.03634993363460282,-0.007546189276355278,-0.007378439746756744,-0.051421472355532245,0.04453316715913177,0.06762832234907565,0.05756317972873771,0.053502712599357606,0.016934437728624768,-0.09371124231995792,-0.07878011355576947,0.007455738000896032,-0.009999107082940285,0.023153836495776466,0.016425933357569044,0.009495894884316847,-0.09478764672786763,0.01642593335756941,0.07795937112250828,-0.003665440930670374,-0.006552880714213799,-0.00307164604112339,0.00442778758810372,0.009093021433510286,-0.04682687544746871,-0.03869598192382314,-0.05069043574051154,0.01386348216156483,0.12884984109121606,-0.037851244072818736,-0.047074654057249046,-0.05677341677360382,-0.003397296681988095,0.03638999212917728,0.04020503952968181,0.009330783123361908,0.007795496260991781,-0.21103749445276868,0.004995649044922001,-0.08258291603359545,-0.0849501512213397,-0.09131472416282117,-0.03010411962960657,0.01794001664185765,-0.026527816751747594,0.018127402563884128,-0.08507789993859743,-0.12783469390269378,-0.10779008105444585,-0.11488547125394567,0.015279373526595297,-0.018724512067994577,0.045896127091679714,0.002230336848848132,-0.0001583223394954486,-0.00946179267962767,0.07140396266147687,0.05121724335616544,0.0753850418954083,-0.0021982854137444366,0.07400384759176547,-0.014910744146789058,0.10220127276705918,0.06239128398570006,-0.22843148351211587,0.02435785538820079,-0.0606384016111396,0.01997387702925758,-0.03953189087692914,0.08258800238928227,0.04558670614883602,0.08804435987640225,-0.1949778924862478
all_times_nhist_peak2_bin,-0.3924058509252427,0.14242620438450423,1.0,0.1794505913327044,0.005723235378956338,0.038428819283734976,0.08263051449391809,0.06707886959056544,0.10922083159850228,0.1129696382278971,0.06323270637072007,0.01686798137539482,-0.021462479233506093,-0.04760619147829946,-0.032873614122401855,,-0.005608589593769836,-0.05841260200404839,-0.0643152967224273,-0.07226134931831875,-0.07083584498887871,-0.06382047942877041,-0.08436571773367281,-0.08470570905434475,-0.25924055498080834,-0.24181809638179552,-0.13763009026639117,-0.1478641373049664,-0.1974361873545184,-0.2765601498850713,,,0.27838564778450914,0.06766494167864387,0.3560813190409466,-0.011977522736926826,-0.14052473045566552,-0.07814077753564341,-0.16572794116141962,0.03105068295939406,-0.02549802906655625,0.005261816060028838,-0.10838833293627702,0.04358636577593038,0.06927444289407379,0.09590345304649471,0.09091696414041625,0.08782788422430805,-0.1255638835544789,-0.15165454832210368,0.04436693840626551,-0.07498665558329,0.05819921569894262,0.0028515789311929296,0.09605152478113425,-0.12083742657851464,0.002851578931192863,0.2006875048106579,-0.020995499404122212,0.011761531321639743,-0.05571074722542456,-0.03521507007503854,-0.0323025949110475,-0.05272182705164833,0.051429550279796094,0.0510186671019073,0.0024415425395719077,0.03675292980860017,-0.016202796413002665,-0.07145889168653133,-0.05851677605934476,-0.026623569670850174,0.14356284788180584,-0.02367586096818556,0.03940278398461928,-0.014547445161340265,-0.29252611684615226,-0.05083069756327061,-0.0653852272769832,-0.060614779513217046,-0.1154580303130483,-0.047194352101970094,-0.01409231355464495,0.0008896672789036379,-0.029486726585094224,-0.1607435461186277,-0.10615481179348339,-0.15552860774956287,-0.16664665544411622,-0.046645434802290914,-0.009797208533234418,-0.01411458418543779,0.026818057427695212,0.0859641113147414,0.050056250266537816,0.07175854785384857,0.06433414589374072,-0.02298024872880077,0.008652771976988249,-0.011356247452043552,0.04918863711089527,0.1955523065606967,0.19103379838430506,-0.2618086785382417,-0.04221411694076812,-0.0004999797421472999,0.09294726373432725,0.03652831132863319,0.09373377308248133,0.06449747668111475,0.03403615633530416,-0.19583931549433795
all_times_nhist_peak3_bin,-0.24411111025760826,-0.0892625244486355,0.18644936707939294,1.0,0.1286292042152007,0.057371707393804136,0.08462049680233623,0.21105138831613007,0.05446051691574129,0.19751181568685924,0.20288679949616045,0.13548983701541475,0.037161136160491104,0.0017993464709703654,-0.008772715191151494,,-0.04667953442577201,-0.0654559529174729,-0.06668670344432245,-0.05171357123112227,-0.04791755234110543,-0.028459431173607545,-0.01581691446287946,-0.015003930340880533,-0.023576538031801934,-0.04885774674718559,0.09415518301432318,0.1832545723878951,0.11201770255698465,0.04318595438925328,,,-0.1212371014048111,-0.20514882959153943,-0.0243880967521145,0.05081129490496836,0.07265976668758725,0.010183968021939672,-0.059873060705573265,-0.034451776830223234,-0.0005691361681337949,-0.09459603941111419,-0.00607639393326891,-0.004414957624865107,-0.015117553316182905,-0.011865878982714373,-0.0017702339631347197,-0.02260009706162696,-0.06386450631950187,-5.201880779356895e-05,0.03311339228147466,0.009913860055996742,0.00872916941840064,-0.05266506001750989,0.0025383025910189114,-0.0480260087706718,-0.05266506001751052,-0.03061409733189629,0.03663830534454906,0.005486098798499858,-0.043146797130504635,-0.002020251726603675,0.00886188474191081,0.008945623372389175,0.035264702544722214,-0.02975866794937561,0.03554961387022937,0.06287395576801998,0.06656904733773478,0.05303940712321266,0.08121932860426644,0.00950672803788106,0.096432169877631,0.04987136194509598,0.04258733516882559,-0.013149578897130044,-0.02203959970507087,0.06969206277065133,-0.02896571148277791,0.05461264548119377,0.058152335304372076,0.029932099798915156,-0.06688622929520309,0.05303113711710203,0.004713186003288994,0.02194316374642533,-0.004710786393942395,0.027657662838514847,0.010800532039392144,-0.02108607616342634,0.03079498915891016,-0.02492623682644227,-0.03294501114279398,0.06148771841042541,0.04866309360793228,-0.027982222966517842,-0.0263500723284309,-0.015496129981203243,-0.0070789462126447465,-0.014800710682780067,-0.03462662398387048,0.025668387554483696,0.012385323876198711,-0.045909113462446784,0.007979276671595991,-0.09246644487836608,-0.016668898254336803,-0.06628563257543517,0.05037057301354171,0.02872585562185237,-0.015610983654693433,-0.021544409716486287
all_times_nhist_peak4_bin,-0.2933842890333227,0.03976468732059287,0.001381769781716224,0.12702609752090127,1.0,-0.0434218592705593,0.09399321358347594,0.04841991510647832,0.12285302709377788,0.09114524689893322,-0.005054790874541874,0.10165481293920098,0.0050282091910070605,-0.022801316371059303,-0.042385178499173094,,-0.013421500283476188,-0.0692568482011014,-0.07891830378481553,-0.03167794594518795,-0.034593859862480654,-0.056151057276761444,-0.04495351153762734,-0.0467585136057009,0.04408292767892472,0.043880817420637964,0.035668039229103686,0.08399915345698049,0.08674612461158493,0.1128666687846248,,,-0.07282863249837145,-0.1224151619066014,-0.04206880704506025,0.012719952723512376,-0.12229742654856604,0.005354807757073027,0.029441014693236754,-0.007143187391257018,-0.03670985554609698,-0.08234629792392659,-0.02949918917853226,-0.04876184775549753,-0.05269184209235349,-0.05878757537696995,-0.035314088218306235,-0.006435592533153961,-0.027630010728167422,-0.02786525395674401,0.0009471515322562397,0.002754840539772871,0.02452731055307578,-0.04027661089963769,-0.03647708066524112,-0.03258025521236618,-0.04027661089963904,-0.06954789870152775,0.030668622755846968,-0.020420883183152255,-0.02704704870847811,-0.042058145105140256,-0.03533306460873608,0.014819275584892263,-0.001324588259165781,0.003029028889035452,-0.02897505440568313,-0.03583312251946509,-0.06065610733805796,-0.07339732792859092,-0.022975523371805247,0.021884687567750187,0.1395506495618621,-0.02188187291758877,-0.004973693729729435,-0.0039988944895253615,-0.00861683494831885,0.002033088469267883,-0.024039763179001028,-0.005003390575190074,0.03104018745642446,0.051451814568171765,-0.05781012371288557,0.03400933613631933,0.009470201112079133,-0.007445779847768962,-0.020377954867354352,-0.01602613413632575,-0.06106715103742928,-0.040304531536644886,-0.0010864980924058815,-0.005906622555976751,-0.005409763617634276,0.0909985697782896,0.062070312929369056,-0.035743476468149744,0.015016815486064483,0.028338466182482727,0.0252705810950968,-0.04777694167285031,0.01584868383640344,0.05203738999299878,0.0164804827844872,0.025526603751408694,-0.020546064784790544,-0.044890880517975996,-0.05072936516753627,0.05265503074740105,-0.06338192706841454,0.029534835810624348,-0.10119981399561605,0.040268746463821586
all_times_nhist_peak_1_to_2,-0.20424189531326342,0.14577762051407553,0.05190469637775847,0.09695468080181147,0.021223772191237417,1.0,0.5568673531229801,0.5588562253815096,-0.06657882130473328,-0.03991852929555643,0.07276828577787728,0.07081952821848782,-0.4089004304643091,0.002505664773018181,0.023399677046293532,,0.40485685216933437,0.4112526723839616,0.3935541771857175,0.3545475330499231,0.35462864948169265,0.35030979519240407,0.2873856693303631,0.28747737692729547,0.04283671677142136,0.04708034455705205,0.07626517082269821,0.0559419106359264,-0.07041704119929157,-0.08554083812399918,,,0.02805242874596231,-0.0670673009801765,0.10898259344383865,0.006690388880518845,-0.05029327997563262,-0.03704753365216382,0.13879053445070147,0.4081861601841092,0.025151779751709204,0.07714631781707533,0.027502880654041183,0.0156809488051491,0.01605441976981982,0.0117174570209156,0.011434648204332463,-0.018761163981875606,0.24169817051255707,0.015656898446110446,0.019979736981018712,-0.015762684978461464,-0.029556736508327134,-0.00560892295015864,-0.021651617069742377,0.024743443792578028,-0.005608922950158926,0.06879601300903952,0.00029558282492173066,0.026190963847486044,-0.023344663167558805,0.014534696486490823,0.006046248429306417,-0.023390617217233588,-0.0012561519678669331,-0.053400626563101315,0.009568160423666853,0.0071960440391522,-0.020349656644471227,-0.06885737776059472,-0.060573907949031655,-0.007441505170903428,0.016581730446000233,0.05905547794580729,-0.05807073467086463,-0.00032461195057838005,0.004231422613784275,-0.0549943188441965,-0.057212705552252566,-0.06942815392176904,-0.056669089614235495,0.0019115932178522305,-0.014097829134054305,0.00507322887620424,-0.020077056714322594,-0.0528947272282935,-0.05103357369473684,-0.059078759608353675,-0.03173918073401296,0.011231870579097185,0.033594616927119215,0.027128016696504158,0.01338538463428074,-0.02001250506052633,-0.015775357668059306,0.010143878268741394,0.0056218502827503816,-0.010009660356757369,-0.0052467559215934895,0.0510655955308794,-0.023081729452813827,-0.05454329121933599,-0.040008889757053065,-0.007841783449975251,-0.009063688662936586,-0.03727089893529275,-0.011460864986713223,-0.06416064754862376,0.02490063617205492,-0.007142069196304505,0.10445484819185971,-0.01987075187066903
all_times_nhist_peak_1_to_3,-0.3360873624033336,0.0532610959857784,0.14239114747031795,0.04741550984348022,0.0033435995632980944,0.6474661503190879,1.0,0.7716331032836199,0.7769474633869619,0.5578637628982082,-0.0010549059235907883,-0.00366555781403895,-0.19999017164049676,0.004858131144970591,0.020386133146402426,,0.18651647862755022,0.20288913545183876,0.19929467361861472,0.17021074203969058,0.16887016233785904,0.1690400461791888,0.14012962245103527,0.1397716855831775,0.015564308675790655,0.08166565140849967,0.09885252812432622,0.06143384455958633,-0.06066056068975527,-0.09216774837714427,,,0.011653426697497976,-0.05769730293386105,0.09897093207129382,0.0031633243474679397,0.03894007258361235,-0.022402151181272045,0.1230318633272885,0.19912601492501172,0.021704965481445564,0.13747803346276619,0.07203366116144885,-0.008957795001031646,-0.008780886016637962,-0.018796127815731964,-0.025583511852083643,-0.016639828183672843,0.13622305835780532,0.05835021845880476,0.023419320676653636,-0.005686807823178188,-0.06614610445630062,0.0011409602837159252,-0.03529321260550808,0.08827539483137598,0.001140960283714801,0.04402468471324424,0.018987760521001398,0.03927588843551921,-0.0029294686859128905,0.021502342498155524,0.009281863207519387,-0.03994460352154988,0.005977021196256481,-0.017829849333515998,-0.002148497595320279,-0.019717699837152304,0.01721978397364412,-0.020697379327996576,0.0048493593812399954,-0.00029363763319196427,-0.023872175977297523,0.0398828892733355,-0.0076581770863440235,-0.010443941830091561,0.08192877156768164,-0.02273611243565431,-0.027220674384923108,-0.012266119915170485,0.013247533291688715,0.04323029031968537,-0.05180868401345452,0.014631167099568661,-0.05189441035873254,0.018929129108455463,0.057435977132762044,0.0061039695342359115,0.027755537935092656,0.006707854939030821,-0.005970924133959091,0.03997754357618686,0.0536378793925108,-0.03169091345521088,-0.025354572804715345,0.025228488856228234,0.00842729386252252,-0.0242788587778743,0.003159163728837837,0.03734757206251083,-0.02257611780617588,-0.10497065909306577,-0.06466935543082045,0.07539747819828856,0.009266738531839569,0.0048542635330315964,-0.02187280007040494,-0.0026099775184795426,-0.007607418280002959,-0.014383571394898024,0.02661875804131348,0.06176587044877616
all_times_nhist_peak_1_to_4,-0.4510830942663561,0.06186577657998315,0.15457855774683735,0.162800519317544,0.005454477934573472,0.525040522994674,0.8013435876789415,1.0,0.539678429680642,0.7614839286460842,0.54679713401771,-0.13896377277484576,-0.12468050954435936,0.07450462828784687,0.0712744960809154,,0.11617353130000312,0.1168966605087478,0.11283758758393328,0.08742691699175571,0.08746713034763047,0.09449600750019682,0.07036531100130285,0.0697746516610432,0.00422048863570872,0.058653984462134046,0.13690498686568012,0.11294092966086548,-0.0048781508043282545,-0.1062096389932317,,,-0.019431179328355502,-0.10028740877773658,0.11551337393017205,0.016692431071928072,-0.017811871074675554,0.006814718783530447,0.14150114747034864,0.1238715668576755,0.11301322271730521,0.16385391780054676,0.163715279326912,-0.018212471879560765,-0.014068239656480038,-0.03589358902820913,-0.04166551181442077,-0.06886482789714436,0.09910615991836319,0.12964921138082577,0.032656405262256945,0.04427233379009455,-0.1522813186846097,-0.010787504620627534,-0.01764978337459793,0.0878727545966959,-0.010787504620631933,0.03021607117271463,0.028865499954943766,0.0992656460209591,-0.013583507526752312,0.09096358430065385,0.0737476543540307,-0.03490728752143312,0.003973988557400207,-0.049681463301130345,0.054688167808266575,-0.006131020407613371,0.0039155464604873425,-0.050815483336530444,-0.013377301134067874,-0.02256421531968714,-0.04797716796711581,0.05751877875910458,0.0011516333721372529,-0.00919116811893723,0.118778442239287,0.005165695570782565,-0.002877887648045378,0.007893363183447135,0.03397682802033496,0.038154344692523316,-0.01671253418863612,-0.002613341253983864,-0.0020751657232983382,0.04638421442441176,0.03169201906403862,0.008244686209060973,-0.0010743115000917244,0.02557908410038789,-0.030870186300700913,0.029414411433380833,-0.002638265415305942,-0.041808759333664874,-0.027579509544993004,0.005091320508518165,-0.0036942599502203595,0.0017593988930614149,0.0021508224288823807,0.051147953761022213,-0.01628287798564564,-0.14815774856148722,-0.1163113035432448,0.09845992778581374,0.036957298974487636,0.038994725764265645,-0.04746135816891295,-0.02262492031797087,-0.01676366346702492,-0.042202875573366216,0.041640380489194266,0.07066141674931647
all_times_nhist_peak_2_to_3,-0.17593287942090557,0.030309958710035934,0.1531437348172728,-0.10582713123762157,0.02386790670391857,-0.07879204885192266,0.5816929134304583,0.47024611820921863,1.0,0.735345627255871,-0.02351251400335666,-0.047897812484007686,0.023598454044169475,0.00017750004926166962,0.005600819122287134,,-0.040154388440090644,-0.040566367019554905,-0.03444476174000641,-0.043368837258539975,-0.04527617127082236,-0.04528566110639754,-0.03939707721141167,-0.03993544770513432,-0.027841554972059732,0.0423327348752151,0.049375874176261554,0.021949050607690018,-0.04687689316938832,-0.12043152596160007,,,0.042455876274878145,0.001998384138701449,0.10500165968100636,-0.001095650625225443,-0.0004110575867619016,-0.011360542739025403,0.0428715365146964,-0.023849409984246412,0.00895302236708261,0.10387792449678518,0.05120128912636907,-0.01634907407925246,-0.010702120977835473,-0.018684557263628682,-0.02949164688498932,0.00499372229202873,-0.007232829529916614,0.042851518438668294,0.015815882068707394,-0.00542811965631072,-0.046126353856984985,0.005065258111131402,-0.009179844677356165,0.06875662002325487,0.005065258111130495,0.03861519069751713,0.012386293016136182,0.028594879167240052,0.007670533638088672,0.009918501346686183,0.0022376905132512627,-0.036867882804091194,0.012461299346673614,0.018560171037591344,-0.005698699562253011,-0.036533390289119866,0.020127004589331757,-1.9273056787317094e-05,0.03627446207933536,0.011868732264594431,-0.030082723742671545,-0.0003541234572000553,0.038571010256033086,-0.01935640836765186,0.05303417030667427,-0.013077035469937744,-0.004424366898755884,0.01644303268150822,0.039290067435576656,0.047462944876909274,-0.04788578951737166,0.007824327274235071,-0.04378851538216115,0.022621498447523897,0.07487735461958663,0.021939519751404984,0.02472140834293659,-0.005774031137369823,-0.03897318517305612,0.03307248419143693,0.05861112455959842,-0.021880818416435143,-0.01856640417464031,0.018002230895366584,0.0012239987728240361,-0.01329264767418477,-0.0037639082522501104,-0.007051912611693047,0.0024272059384603632,-0.050231187907557984,-0.019918139923416952,0.06691117888463753,0.004877636587621525,0.03312059538960691,0.0018438844807862687,0.05187319096560157,-0.007230261793831964,-0.0007476642102466949,-0.019381901624442553,0.06835021810293206
all_times_nhist_peak_2_to_4,-0.42111266456743573,0.09534405561863804,0.15162557753470754,0.13158732254772953,-0.0071008146265954305,-0.002499795017671645,0.49006282198511575,0.7906812975039231,0.6472447076069667,1.0,0.6090957044583472,-0.12771634991547262,0.03380514373894739,0.04341110588943483,0.07346819176883194,,-0.044624083021111365,-0.0608484645516046,-0.06035921108040333,-0.0723819153549865,-0.07267076783302436,-0.06625684669788645,-0.06835743353558255,-0.06916898247464719,0.005445617512295446,0.06780185456187711,0.14057681416606008,0.11979386246680519,0.009841014028318893,-0.10880503931314035,,,-0.023950382395921975,-0.08503289223967683,0.09351105955761474,0.0122606530725573,-0.0480320982690207,0.007811199342429948,0.11806274640900401,-0.03374005297738591,0.0721009123360678,0.14997413958974143,0.13259052202249266,-0.01975586061089072,-0.008475586922841873,-0.02900049174664558,-0.05325528852360882,-0.06009562343191788,0.004888670544831988,0.10890703066961238,0.027285061740964435,0.022070684736818537,-0.12080536986230575,-0.01096634261818584,-0.014601956749888362,0.09196678020445441,-0.01096634261819008,0.00757417194119648,0.03360862486430127,0.0748058523450175,-0.0014906250011595635,0.06081464727714633,0.045792282525940635,-0.038707888975184686,0.012099350338460232,-0.007994482553198816,0.03739916286552277,-0.048632070579222586,-0.0006573290259831367,-0.03352793468886967,0.024037950237557767,-0.009507739037063461,-0.05669180428392128,0.002391243366412142,0.06879393320329963,-0.03589768182889499,0.11847739374391686,0.010928356444920635,0.022903128370450984,0.035382327383975676,0.07184369307716132,0.05319567329124003,-0.010806153740046644,-0.011099103782540759,0.01638727981705133,0.05847710221128294,0.05995656966998514,0.02830117410913038,-0.002575831277204941,-0.0020394776278074953,-0.05988112133449162,0.024971424548791903,0.005433160614603252,-0.039523731698918325,-0.026281446582979883,-0.02192192747465417,-0.016574669651059193,-0.0011013964220568447,0.0008656481985775076,0.01499208160986756,0.005282084348360984,-0.09438684845541692,-0.06621309958353637,0.1263064110743458,0.036781777696787574,0.032725882925729616,-0.03837674927917619,0.031921170637893966,0.01536029836288282,0.0005898345540313021,-0.00047957838655022345,0.11158093028826328
