ID,Pulsating,frequency,amplitudeRV,offsetRV,refepochRV,phase,D1_Ps,D1_Tobs,D2_noiseRV_mean,D2_noiseRV_median,D2_noiseRV_stdev,VALID_RECORD,all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,freq1_amplitude1,freq1_amplitude2,freq1_amplitude3,freq1_amplitude4,freq1_freq,freq1_lambda,freq1_rel_phase2,freq1_rel_phase3,freq1_rel_phase4,freq1_signif,freq2_amplitude1,freq2_amplitude2,freq2_amplitude3,freq2_amplitude4,freq2_freq,freq2_rel_phase2,freq2_rel_phase3,freq2_rel_phase4,freq3_amplitude1,freq3_amplitude2,freq3_amplitude3,freq3_amplitude4,freq3_freq,freq3_rel_phase2,freq3_rel_phase3,freq3_rel_phase4,freq_amplitude_ratio_21,freq_amplitude_ratio_31,freq_frequency_ratio_21,freq_frequency_ratio_31,freq_model_max_delta_mags,freq_model_min_delta_mags,freq_model_phi1_phi2,freq_n_alias,freq_signif_ratio_21,freq_signif_ratio_31,freq_varrat,freq_y_offset,linear_trend,medperc90_2p_p,p2p_scatter_2praw,p2p_scatter_over_mad,p2p_scatter_pfold_over_mad,p2p_ssqr_diff_over_var,scatter_res_raw
RV-0,True,54.70317260863487,1.1330976007892246,640.4762575113282,2457652.757681956,0.737926857706589,0.0025,0.25,0.2440598521936203,0.7291659526801633,3.3211252262101763,True,6.0,4.0,8.0,21.0,25.0,1.115606936416185,1.5950413223140496,1.8037383177570088,1.4297520661157026,1.616822429906542,1.130841121495327,7.762376237623762,inf,0.0001,2457652.882681956,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,1.5132200726561176e-10,640.7336112258776,inf,0.0001,101.0,,1.3552527156068804e-20,0.25,9.6155193852681,0.0120652320401377,0.0291180562886534,0.0610902338476876,0.0908033989033468,0.3472212829986278,5916.720632673947,650.6162718090736,640.7727356196549,1.896874827761394,631.3852330385374,5687.542831778716,0.2871287128712871,0.504950495049505,160.75783562809545,0.0057080231974062,18.522827056992345,-0.0572449100628409,0.0584274830588233,3.453227212969469,27.32340637206267,0.9888461162316516,640.7336112258778,-2.3268222582841693e-05,2.005236682890152e-05,0.1324935267243044,0.00525265922149,0.001008759039504,0.0003855943018359,7.2,995.037190209988,-0.2055604590067694,-2.561320451191086,-2.2216312479814286,1.1928137040892677,0.0145973887762339,0.0005041908341065,0.0004050869230391,7.565668578626314e-05,20.0,-2.096696133527576,-0.0288185983096533,-0.308917531881056,1.4539375859420428e-06,5.0218800876628785e-08,4.034778160746348e-08,7.53561593010572e-09,20.0,-2.096696179922558,-0.0288186323686898,-0.3089175812562552,0.1101743544543768,1.0973649972858138e-05,2.7777777777777777,2.7777777777777777,2.0109022225156532e-09,5.265309854785015e-10,0.3314751601746118,0.0,0.9076872892899224,0.9035001625258766,2.809840946442055e-05,-0.0043587806640061,-6.904029766927473,1.0488995020450025,1.0,1.8782866314478743,1.797027686810152,2.133623667024411,1.076597133944316
RV-1,True,45.8705150272405,0.9457381975475256,1392.8251711477378,2458555.919112497,0.604098712533947,0.0025,0.25,-0.0649062654689216,-0.5009589502023277,2.97241425200434,True,1.0,,,,,,,,,,,7.801980198019802,inf,0.0001,2458556.044112497,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,4.231116433292831e-10,1392.773738926958,3579139.0,0.0001,101.0,,1.3552527156068804e-20,0.25,10.601850790240064,,,,,,6082.732718633179,1405.681762855936,1392.5916331578333,2.0306847420652048,1384.478061275456,,0.2277227722772277,0.5148514851485149,,0.0132499470002119,18.24481189191626,-0.0025656659714674,0.6332152290720057,3.088363248078572,23.18521835246944,0.9331116178780426,1392.7737389269582,-5.902779809911007,6.867011464929232,0.1885794230731478,0.0146636323129128,0.0020428915438944,0.000201546588767,26.4,627.7010940922181,1.4965876060236192,-1.2251129567663572,1.9103922793035044,1.2454941950381713,0.1811707154861627,0.003906837111089,0.0012011688269566,0.0001478107354528,26.4,-2.953952873239618,-1.394412299215424,0.7989905584288891,1.2589098358964132e-06,7.154657230207996e-08,1.0589751068554649e-08,3.147072986701044e-09,10.4,0.2593578148854931,2.920556889133371,2.7482985385321728,0.9607130647328826,6.675753989384602e-06,1.0,0.3939393939393939,3.647455587563185e-09,1.6118648082930063e-09,0.3500407633860055,0.0,0.997942647505456,0.8999462967466617,4.786143729487252e-06,0.0050131717855492,4.591941372168091,1.0259249924150189,1.1100975175598249,1.4020863912625652,1.3959524530560086,2.0165655995278597,0.964842346389322
RV-2,False,0.0,0.0,1799.268703363147,2457478.540948537,0.0,0.0025,0.25,0.2998345466816112,-0.4879108823963869,3.3102113208641115,True,1.0,,,,,,,,,,,7.801980198019802,inf,0.0001,2457478.665948537,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,1799.5685379098286,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,8.987593147969505,,,,,,6586.140319646423,1809.866722703196,1798.7807924807507,1.5754281244107915,1791.891536407257,,0.2475247524752475,0.5742574257425742,,0.0082453825857519,18.376392550488664,0.0045952217576936,0.7235404104654843,3.31021132086413,24.32374980001101,0.8787563180801268,1799.5685379098286,-1.0024923764260644e-05,8.04537986831035e-06,0.1998902539114842,0.0112065309812174,0.0028650821613122,0.0008174321555501,4.0,627.7010940922181,0.4142083144361412,2.280849407463256,1.388929143430962,1.2427661542571746,0.083402998776694,0.0036112454659202,0.0008176521241243,0.0003478828084128,4.0,-0.6779189977039781,-0.6205531904825137,-2.3028614006060986,1.335019540951384e-06,5.629527846492744e-08,7.038090428740347e-09,8.127773959969991e-09,13.6,-1.393830007415108,0.960976846296954,-1.8485410240602569,0.4172439483399062,6.678762545084163e-06,1.0,3.4000000000000004,2.2786749154235512e-09,3.243412288744807e-09,0.3307156483657623,2.0,0.9364195732948968,0.9194100313779092,3.3342430075895943e-06,0.0040951625703655,-0.8241427466625859,1.0046911486614096,1.0,1.850240669412888,1.8652969818856644,1.9830136607885287,1.0189850458254068
RV-3,False,0.0,0.0,918.0078848920804,2457611.735507834,0.0,0.0025,0.25,0.0327979205682253,0.6437766749104957,2.9868471967855976,True,10.0,5.0,9.0,13.0,17.0,1.0972972972972972,1.2228915662650603,1.3716216216216215,1.1144578313253013,1.25,1.1216216216216215,8.752475247524753,inf,0.0001,2457611.8605078333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,918.0406828126484,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,8.388075925429916,,,,,,5103.841192771962,924.3690486646055,918.6516615669908,1.5444777024748646,907.5928968137456,,0.2376237623762376,0.5346534653465347,,0.0103648424543946,18.00442978001765,0.1709706948920999,-1.1179105310750694,2.9868471967855865,21.57798030618256,0.8784270769368543,918.0406828126484,-1.8639012245077868,-0.4393513286436226,0.3889360034851375,0.0243989702066356,0.0048942174232199,0.0009740696181241,4.0,249.7928658679461,1.5589604794760847,1.7366879026370496,-1.8565078136469209,1.5609676163316937,0.2642825933855874,0.0291259241394442,0.0017985405008291,0.0015263988771085,23.200000000000003,2.3164201442989487,-1.790256784645141,1.1526448720957796,0.180335196829151,0.0177053865477001,0.0012143834955666,0.0005434548959292,26.4,-0.0525703416757541,1.367339234801776,0.0782681771230662,0.6795014887216182,0.4636629039564917,5.800000000000001,6.6000000000000005,2.451985114948485e-09,9.588451699293896e-10,0.3588232540493627,1.0,0.8860361196270239,0.8238667086553417,9.897921240553576e-06,0.0035100113054795,-6.920995606296014,0.9587295066139514,1.0,1.309963704925329,1.2622910286435547,1.663091897431338,0.9639519143546216
RV-4,True,69.5032273171798,1.4470381552129052,-1375.321599178505,2460177.0958391256,0.9621701108663608,0.0025,0.25,-0.4033874194742265,-0.8745344182592585,2.453972254012809,True,1.0,,,,,,,,,,,7.801980198019802,inf,0.0001,2460177.2208391246,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,-1375.7089723425377,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,7.011046492910623,,,,,,4408.226673419682,-1368.9611195494783,-1375.7154974551863,1.856999171565576,-1382.9832125352996,,0.3168316831683168,0.4158415841584158,,0.014288980338363,17.87622468150918,0.0910917765431224,-0.0541740157839465,2.691709176330793,20.87549162594779,0.9732622287451242,-1375.7089723425374,-13.43634647096106,13.879949616275352,0.5187022872173792,0.0178742747524136,0.0015868827409838,0.0015903552087947,16.8,157.57728127594015,-1.0570619925644067,2.5272219803878184,-2.294218274983906,1.7414608099711066,0.3447977937681324,0.0191104873190163,0.0045401893588602,0.0016220120422967,13.6,-1.8845278648141068,0.2629063847706697,-1.5346769496550354,0.1621297011400863,0.0057397271966139,0.0062623759153781,0.0002797374681116,7.2,-0.0573214640391227,0.5712034859132553,-0.5794229033864414,0.6647315854684744,0.3125679318089078,0.8095238095238095,0.4285714285714285,6.3411191852935644e-09,2.2478745531628874e-09,0.3427688440231731,0.0,0.8227929559251828,0.6964208843070737,3.6153274879680615e-06,-0.0247951715271028,-3.2595948516103754,0.950433173790004,1.1279527467515482,1.3753035408360046,1.4721756219225892,1.8113788105638864,0.9264396648575074
RV-5,True,40.84959481228514,0.8392338293515029,988.3442236309938,2457837.014987719,0.5280241638225022,0.0025,0.25,0.3899514628482002,0.4584071799816812,2.6569307490124423,True,7.0,4.0,8.0,17.0,21.0,1.1162790697674418,1.422222222222222,1.5737704918032789,1.274074074074074,1.4098360655737705,1.1065573770491803,7.762376237623762,inf,0.0001,2457837.1399877183,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,988.7195453801404,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,6.828634478385197,,,,,,3712.0061992931046,996.3308153901216,988.5046202096356,2.1315120654863904,982.6735464333512,,0.3069306930693069,0.3366336633663366,,0.0099752613518474,17.881166307280456,0.1042080439667812,0.4601405269491527,2.7161225223825345,22.10751663581557,1.012684643446217,988.7195453801402,-457.1405367509737,557.7667883288087,0.3866731935224718,0.0382737276854499,0.0059290929136568,0.0007424619197231,26.4,249.7928658679461,1.5057078185765296,0.4147285998164645,-2.032448130384761,1.6245102209182405,0.3578579845208872,0.0297489626689726,0.002267989945405,0.0012815768904148,26.4,-1.7543351162562055,-2.417405956104395,-2.176091588002659,0.1609266053852159,0.0146181715718597,0.0013561406865658,0.0010249897018772,16.8,1.9837642544953693,-1.5320867488537933,-2.6336176270097824,0.9254791656512644,0.4161824716092285,1.0,0.6363636363636364,1.060974585964658e-09,1.694795193074583e-09,0.3484301241799314,0.0,0.8923838039526325,0.7070451907659743,7.2370038417343235e-06,-0.0030735560522998,0.6368894765826724,0.98445988393202,1.2949696138064992,1.057278030372132,1.460282648764713,1.777025444999324,0.9212362942086804
RV-6,True,43.3336025668642,0.891924902933483,-937.461075231122,2457875.471812564,0.5656606449524879,0.0025,0.25,-0.5616280589395323,-0.7138808922287092,2.74194260928319,True,1.0,,,,,,,,,,,7.801980198019802,inf,0.0001,2457875.596812564,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,1.5132200726561176e-10,-938.0179173369338,inf,0.0001,101.0,,1.3552527156068804e-20,0.25,8.283838957538308,,,,,,4408.822105362526,-931.9206578678222,-938.1348296962584,1.9445428647634344,-948.4883357828988,,0.3267326732673267,0.4455445544554455,,0.023320895522388,18.115449547218788,0.0342989958074002,-0.5542607767056859,2.9487826256357184,22.80007920225612,0.962541403394548,-938.0179173369338,-3.956466451435774e-05,3.600490854017043e-05,0.389977207167167,0.0318148538507751,0.0043937589529748,0.001204805019861,10.4,249.7928658679461,-3.0433648040128816,-1.9127226321389332,-1.092910448267575,1.555427005981339,0.1851131076744961,0.0102436232498132,0.0007571402761818,0.0019467470839844,13.6,0.1370863952795344,1.51179047607266,-2.497910635201136,0.1154763160165502,0.0068044922367745,0.0030000269186061,0.0001790371111546,13.6,-2.3859288383773207,1.364200371412449,-3.016082206379148,0.4746767356461062,0.2961104236203486,1.3076923076923077,1.3076923076923077,3.959121919194786e-09,3.701439932335404e-09,0.4015542263475413,0.0,0.8046937790295203,0.7204278243607558,9.552011700623968e-06,0.026976770791748,0.0330444586017665,1.0094855068767985,0.8791123762413241,1.4978638689212314,1.5773431172409946,1.9421615527691012,0.9543098472950828
RV-7,False,0.0,0.0,-2897.025037092034,2457549.422670372,0.0,0.0025,0.25,-0.3997750253546715,-0.6241273830873192,2.3729114950434624,True,9.0,4.0,8.0,13.0,17.0,1.1142857142857143,1.2828947368421053,1.4130434782608694,1.1513157894736843,1.2681159420289854,1.1014492753623188,7.801980198019802,inf,0.0001,2457549.547670372,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,-2897.424812117388,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,6.99787882666601,,,,,,5142.064560107955,-2892.804399647734,-2897.6491644751213,1.537799306656325,-2906.800157301066,,0.3267326732673267,0.4752475247524752,,0.0347415230683713,17.686919428335617,0.0282796430262634,-0.8079578469051591,2.372911495043417,18.659905518953828,0.9693730888316794,-2897.4248121173887,-7.219655362532241e-05,4.494662631167928e-05,0.4713695632116955,0.0393854206204096,0.0093702759278382,0.0016786518957481,29.6,157.57728127594015,1.0432795769664998,-2.5967025403049546,0.2584419059441818,1.770995652016675,0.4378578157233708,0.0299659372402865,0.0080295740882594,0.0026228602961386,20.0,-1.2833615438224562,0.4883538668945182,2.7452398274911034,0.0236200776170389,0.0013060892155697,0.0002535396145354,0.0001445159467456,13.6,2.8270246255799782,-0.428862566377969,2.657146497498847,0.9289055762107526,0.0501094670943593,0.6756756756756757,0.4594594594594595,2.46190221542264e-08,1.5365498873265435e-09,0.3361867191757606,0.0,0.9515151130226164,0.6309151672308968,6.301438131861738e-07,0.018794059355514,-2.229747106831025,1.010330283535624,1.0165287533098906,1.1425092551124114,1.4950942583859173,1.951132854695268,0.9097809288629568
RV-8,False,0.0,0.0,677.574343852847,2457401.271192142,0.0,0.0025,0.25,0.0939130241422843,0.4743286141716653,3.028352169954972,True,11.0,5.0,9.0,13.0,17.0,1.0824175824175823,1.1796407185628743,1.3493150684931507,1.0898203592814373,1.2465753424657535,1.143835616438356,8.475247524752476,inf,0.0001,2457401.396192142,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,677.6682568769893,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,8.357972053563685,0.0164481388709326,0.0283115675303403,0.040842563099784,0.1064913295534226,0.4557093751281246,5532.725853977104,686.58729051754,678.0486724670187,1.7598812370164296,669.8713464104127,1865.08070622641,0.2871287128712871,0.4752475247524752,142.94079500902177,0.0660676532769556,18.168056930396588,0.0349440473317939,-0.1543708452945019,3.0283521699549816,24.33790604823304,0.9637069160299376,677.6682568769894,-4.8519555857445326e-05,3.4611909770759986e-05,0.5887398400686157,0.0357603393607888,0.0099249154371542,0.0030378091619639,13.6,157.57728127594015,2.322715018057426,2.1830711241180127,-0.8202135897658792,1.7553010472550767,0.1760464099013167,0.0013738680517314,0.0005483933639085,0.0010202544885802,4.0,0.4944906860063136,0.2324199244162607,0.4049923193924687,0.1136923057181822,0.0072724107328233,0.0010959422921855,0.0006511037877556,16.8,-0.5440398644866324,-0.5935006812107473,-0.799808886734841,0.2990224168977576,0.1931112827440584,0.2941176470588235,1.2352941176470589,2.4023272260365047e-09,9.358776087431409e-09,0.38537351560651,1.0,0.7192427790656174,0.6508487880840738,1.8350180114913705e-05,-0.0287837848600247,-7.304697813022407,1.0271705325568063,0.9335313880883688,1.3500162201504031,1.4410823564121409,1.9280704770461088,0.9482888316838032
RV-9,True,48.01318405949576,0.9911887527771828,-315.77117147653735,2457903.186332396,0.6365633948408449,0.0025,0.25,0.070706542266136,-0.4294862311504547,3.5375705787962013,True,12.0,4.0,9.0,13.0,17.0,1.0879120879120878,1.18562874251497,1.3288590604026846,1.0898203592814373,1.221476510067114,1.1208053691275168,8.277227722772277,inf,0.0001,2457903.311332396,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025,0.0024999999441206,2.7375181124916433e-10,-315.70697046975835,10737418.0,0.0001,101.0,,1.3552527156068804e-20,0.25,9.670239009425783,0.0077265407099295,0.0141521273976898,0.0241426674813467,0.0330290494577017,0.126836817100463,4613.279842951456,-304.9052268079532,-315.76668928276274,1.9546072671565184,-324.2457048268048,2462.804349750384,0.2376237623762376,0.495049504950495,270.6193154983776,0.012850827593297,18.468641541308333,0.0718776729797666,0.3873976422256985,3.5850691105652346,26.63719008606195,0.9300427930457772,-315.70697046975835,-5.664964068960687,3.788470987038148,0.9588197175434416,0.0717468877772681,0.0091728939890249,0.0054084292954663,7.2,99.40475877098726,1.2351089283002368,-1.2641003897794687,-1.0351825029486936,2.078061332981408,0.3277961306492002,0.0109246046426528,0.0071885185134394,0.002061650186536,16.8,-1.1250210556126907,-2.220778814134511,2.03789765194893,0.3196045601477318,0.0084133594420657,0.0058953887979156,0.0008931721286404,16.8,2.006667930726413,0.930380920822155,-0.4433797720544166,0.341874624240139,0.3333312345375828,2.333333333333333,2.333333333333333,2.282040334478097e-08,9.29021692908094e-09,0.3406080930259147,0.0,0.7039000010463363,0.6607191454349389,0.000116176997613,0.0499064899559016,-11.041126925213636,0.9847494418581476,1.0,1.7871493383297956,1.623419274125596,1.8542672814336647,0.9626581413958288
