ID,Pulsating,frequency,amplitudeRV,offsetRV,refepochRV,phase,D3_samplingRV_idx,D3_PsRV_mean,D3_PsRV_median,D3_PsRV_stdev,D3_NumRV,VALID_RECORD,all_times_nhist_numpeaks,all_times_nhist_peak1_bin,all_times_nhist_peak2_bin,all_times_nhist_peak3_bin,all_times_nhist_peak4_bin,all_times_nhist_peak_1_to_2,all_times_nhist_peak_1_to_3,all_times_nhist_peak_1_to_4,all_times_nhist_peak_2_to_3,all_times_nhist_peak_2_to_4,all_times_nhist_peak_3_to_4,all_times_nhist_peak_val,avg_double_to_single_step,avg_err,avgt,cad_probs_1,cad_probs_10,cad_probs_20,cad_probs_30,cad_probs_40,cad_probs_50,cad_probs_100,cad_probs_500,cad_probs_1000,cad_probs_5000,cad_probs_10000,cad_probs_50000,cad_probs_100000,cad_probs_500000,cad_probs_1000000,cad_probs_5000000,cad_probs_10000000,cads_avg,cads_med,cads_std,mean,med_double_to_single_step,med_err,n_epochs,std_double_to_single_step,std_err,total_time,amplitude,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,max_slope,maximum,median,median_absolute_deviation,minimum,percent_amplitude,percent_beyond_1_std,percent_close_to_median,percent_difference_flux_percentile,period_fast,qso_log_chi2_qsonu,qso_log_chi2nuNULL_chi2nu,skew,std,stetson_j,stetson_k,weighted_average,fold2P_slope_10percentile,fold2P_slope_90percentile,freq1_amplitude1,freq1_amplitude2,freq1_amplitude3,freq1_amplitude4,freq1_freq,freq1_lambda,freq1_rel_phase2,freq1_rel_phase3,freq1_rel_phase4,freq1_signif,freq2_amplitude1,freq2_amplitude2,freq2_amplitude3,freq2_amplitude4,freq2_freq,freq2_rel_phase2,freq2_rel_phase3,freq2_rel_phase4,freq3_amplitude1,freq3_amplitude2,freq3_amplitude3,freq3_amplitude4,freq3_freq,freq3_rel_phase2,freq3_rel_phase3,freq3_rel_phase4,freq_amplitude_ratio_21,freq_amplitude_ratio_31,freq_frequency_ratio_21,freq_frequency_ratio_31,freq_model_max_delta_mags,freq_model_min_delta_mags,freq_model_phi1_phi2,freq_n_alias,freq_signif_ratio_21,freq_signif_ratio_31,freq_varrat,freq_y_offset,linear_trend,medperc90_2p_p,p2p_scatter_2praw,p2p_scatter_over_mad,p2p_scatter_pfold_over_mad,p2p_ssqr_diff_over_var,scatter_res_raw
RV-0,True,54.70317260863487,1.1330976007892246,640.4762575113282,2457652.757681956,0.737926857706589,49,30.683447254903832,9.072849999647588,83.35256095931905,52,True,8.0,22.0,32.0,34.0,47.0,1.0377358490566038,1.1224489795918369,1.5277777777777777,1.0816326530612246,1.4722222222222223,1.361111111111111,0.0033734959202401,-2.55475650088036,0.0001,2458268.763378879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549019607843137,0.411764705882353,0.8431372549019608,0.9411764705882354,0.9803921568627452,1.0,1.0,1.0,30.683447254903832,9.072849999647588,83.35256095931905,640.4969364575384,-1.0645320589433125,0.0001,52.0,261.161325584975,2.710505431213761e-20,1564.8558100000955,1.1313290817843722,0.1859086407360881,0.3798252330044261,0.5309863655020451,0.7085812302090733,0.9253022634483896,1.555557911087028,641.6065362834264,640.4864953890863,0.682150467740712,639.3438781198577,1.8627769971701544,0.4423076923076923,0.173076923076923,2.4347670912961967,355.6490477272945,8.289018910307174,-0.1190399206597727,-0.0273558962157901,0.7489087437937715,6.4388318280452665,1.0950173645114596,640.4969364575384,-61.4357027866845,55.69806405614974,0.6754149555303173,0.0825957497502856,0.009406436691222,0.0059880383726078,7.823008306432561,24.723942581849137,2.592623585458361,-2.2848352715392117,1.8881253640773428,3.490039857287998,0.4448588020044371,0.0519363635555156,0.0024218659577553,0.0026412253375498,6.505621754377088,2.752819568395328,3.092066751421584,-2.3762065477598173,0.3064051649594786,0.0577833865361853,0.005464438432668,0.0011104089791423,25.270034304309217,-2.239547707270173,-1.817028659053303,-0.1336305323300428,0.6586451756241409,0.453654693978308,0.8316010286001823,3.2302195414429806,7.282546787834576e-09,9.47474043666574e-09,0.4124133949211511,0.0,1.056425592929983,1.0207662836015337,8.067772164505019e-07,0.0597070378211128,-0.0004086257867821,0.720874552666313,0.7311356352892233,1.1702601498808074,0.9546039413406032,2.1003047129509134,0.2731837033044214
RV-1,True,45.8705150272405,0.9457381975475256,1392.8251711477378,2458555.919112497,0.604098712533947,223,104.23104375001276,11.596005000174046,161.69168407556182,9,True,4.0,25.0,23.0,49.0,,1.4999999999999998,2.0,,1.3333333333333337,,,0.011659460886648,1.1808494684941797,0.0001,2459100.367756942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.75,0.75,0.75,1.0,1.0,1.0,104.23104375001276,11.596005000174046,161.6916840755664,1392.871937420961,-1.0433088808366358,0.0001,9.0,7.026670611785778,0.0,833.8483500001021,0.8437471391031295,,,,,,0.3294794930839115,1393.7621151182095,1392.5727641755911,0.4981433355878835,1392.0746208400033,,0.5555555555555556,0.2222222222222222,,443.06501062704666,7.505101977024366,-0.4268280621056685,0.2270132973855907,0.6560381762973483,6.054085744263367,0.982126166075999,1392.871937420961,-4.4389174954065584,16.7574010438875,0.846016314344538,0.0265255274208505,0.015048071089794,0.0020354594083615,16.64595246845341,4.544866619234442,-1.9542678351592564,1.7992240409550389,3.1173034948436054,1.6935813264444692,0.0574059937281351,0.0061119325603439,0.0005928696146833,0.0002643891638126,28.803558824571716,2.4906572899276096,-1.891506159601955,-0.9378580729710289,0.0100640192509486,0.0002861625186671,0.0001083803315954,8.286347483656588e-05,7.0873798574996005,-1.0999543002567242,1.9408195008082745,2.189156059247693,0.0678544760364475,0.0118957744434821,1.7303641157908387,0.4257719629400153,4.405138809282505e-09,3.582699248383392e-09,0.3581849583252316,0.0,1.077978091732279,1.0891354876512105,8.098764802579345e-10,0.0912893277563853,0.000704158795789,11.49211287550669,0.3178209209330683,2.276001727715055,0.6186551732111994,2.772179301493259,0.0017304757884171
RV-2,False,0.0,0.0,1799.268703363147,2457478.540948537,0.0,336,83.77099200000987,17.8676300002262,200.84030793462745,26,True,7.0,9.0,16.0,26.0,43.0,1.5,1.5,1.6153846153846154,1.0,1.0769230769230769,1.0769230769230769,0.0027180328447373,49.096865307961,0.0001,2458772.911922383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.72,0.84,0.96,0.96,1.0,1.0,83.77099200002849,17.86763000069186,200.84030793463825,1799.2687033631469,0.0244472135807943,0.0001,26.0,164.09837773574958,1.3552527156068804e-20,2094.2748000007123,0.0,,,,,,0.0,1799.268703363147,1799.268703363147,0.0,1799.268703363147,,0.0,0.0,,2611.315211970963,-62.092911449540544,-inf,1.0,2.273736754432321e-13,-1.0,1.2531328320802004,1799.2687033631469,-8.939646986537163e-11,1.6961942113075867e-10,3.0436056525068154e-09,2.7899774712548743e-10,1.570321187518379e-10,6.687232547477696e-11,1.0027528383568791,0.0384615384615384,-1.581968012920686,-0.0100511323953489,1.5641910391263951,14.781220219581057,8.520154390154506e-12,5.53690252476872e-13,1.8215076365017619e-13,4.440371218793228e-14,10.027471084498014,1.9648459737043815,3.111987262505409,-1.3072162451907017,1.4099261437452044e-11,1.915423287458566e-12,8.363883971236493e-13,2.558208910715669e-13,4.008280097720292,2.308096490742196,-0.3326413647850763,-1.8856962014961864,0.0027993621260155,0.0046324205719093,9.999942858231272,3.9972762423572887,7.206138604763223e-12,5.7407010294644015e-09,0.061574022474917,2.0,0.2027268195385378,0.2347723419914227,2.7055830985149107e-29,2.533624865463935e-09,-4.249476336988592e-15,0.231208705237887,,,,0.0,inf
RV-3,False,0.0,0.0,918.0078848920804,2457611.735507834,0.0,317,51.4593639999628,24.89642999973148,66.2400659333618,6,True,9.0,10.0,46.0,49.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0259104122106272,-2.067244187190727,0.0001,2457772.870352833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.8,0.8,1.0,1.0,1.0,1.0,51.45936399986967,24.89642999973148,66.24006593322108,918.00788489208,-1.368998912186287,0.0001,6.0,2.2764441753280567,0.0,257.2968199993484,0.0,,,,,,0.0,918.00788489208,918.00788489208,0.0,918.00788489208,,0.0,0.0,,320.8189775552972,,-inf,0.0,0.0,-1.0,,918.00788489208,,,,,,,0.003886561831594,,,,,,,,,,0.0069958112968693,,,,,,,,0.0069958112968693,,,,,,1.8,1.8,,,0.00875,0.0,,,,,,,,,,,
RV-4,True,69.5032273171798,1.4470381552129052,-1375.321599178505,2460177.0958391256,0.9621701108663608,194,244.3412033333443,63.3217650000006,303.82308231852664,7,True,7.0,23.0,26.0,19.0,3.0,1.0,1.5000000000000002,3.0000000000000004,1.5000000000000002,3.0000000000000004,2.0,0.0097443752771545,-195.97703370710065,0.0001,2460798.0253319824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.5,0.5,0.6666666666666667,0.8333333333333333,1.0,1.0,244.34120333342196,63.321764999767765,303.82308231860605,-1374.71332800181,-1.841505877986141,0.0001,7.0,337.4789620465597,1.3552527156068804e-20,1466.0472200005315,0.9557591905791014,,,,,,0.2148854263598943,-1373.8918687996788,-1374.8634677614791,0.5613346348179675,-1375.803387180837,,0.4285714285714285,0.1428571428571428,,524.33734620906,6.87807741811582,-0.3213663514754899,-0.1475644499677736,0.6551413485054121,5.991083383162767,1.0151009144331873,-1374.7133280018102,-1.5841234379903613,4.245121576697346,1.2718834357250086,0.0898152463894461,0.0105549540760334,0.0022220358521806,13.702832845992996,3.716358882129847,1.438375476300823,-0.2825753445342365,0.5929247957539141,1.3483862001006457,0.0384526970239009,0.0003678700547928,0.0003024232516312,6.014989686449676e-05,27.85026255838144,2.67916804965601,-3.009750740322708,-2.778515419899046,0.0054777792087283,0.0003587640368563,6.575342528759852e-05,1.6396459175269043e-05,18.231472789798893,-1.6955217443368031,0.3151331568902223,-1.0069712703249027,0.0302328782212513,0.0043068248668604,2.032445617004331,1.3304893225148091,9.736687456296522e-09,1.1410784983567623e-08,0.3522134511170077,0.0,1.1322866936076974,1.1361744503565738,4.849318912343966e-10,0.2959451732801881,6.246777775031326e-05,22.82165680823255,0.7771669315040717,1.575782283548416,0.7311686677314124,2.268740910794968,0.0004363500262065
RV-5,True,40.84959481228514,0.8392338293515029,988.3442236309938,2457837.014987719,0.5280241638225022,60,50.46781217391886,20.943529999814928,88.26126003394388,24,True,6.0,14.0,32.0,48.0,44.0,1.142857142857143,1.3333333333333333,2.285714285714286,1.1666666666666663,2.0,1.7142857142857144,0.0034335334996959,-1.063445559525657,0.0001,2458380.1800173023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,0.1739130434782608,0.826086956521739,0.8695652173913043,1.0,1.0,1.0,1.0,50.46781217391886,20.943529999814928,88.26126003394688,988.213816967329,-1.1987811596511355,0.0001,24.0,15.612292872953269,0.0,1160.7596800001338,0.8390038068704371,,,,,,0.5938069521880135,989.183376348254,988.0066397956208,0.4861001869687129,987.5053687345132,,0.5,0.1666666666666666,,217.6152380952632,7.1313286184307065,0.1001909075998851,0.3360419033291045,0.6369725557801463,5.813004580934657,0.9438767935759924,988.2138169673292,-3.156543818909469e-06,6.24785854942901e-06,0.7548206084921322,0.0203149172533055,0.0193912940069936,0.0047376342582132,5.19070407407613,17.629821127744805,2.5774517406374398,0.6631893998872329,2.3361150918507136,2.989902351874988,0.259375301811337,0.0124210601253525,0.0067214373135896,0.0006698681814426,25.44640420314789,2.1605183581086984,-2.403122224538366,-1.5326206555680184,0.1957545382247379,0.008429851426916,0.0063722915488815,0.0002575018586366,17.970955021454223,3.067839960227518,-1.426675032168851,-0.3783031646977243,0.3436250930263791,0.2593391542604899,4.902303009380664,3.4621420841936152,3.432580109041794e-09,3.206331866678624e-09,0.3686750840396678,0.0,0.9293502582774894,1.0282215426873509,9.070162133123152e-08,0.070509416322352,0.0004737791790526,2.573547594737609,0.3224075292284052,1.2054362003044887,0.825222561998293,2.397292181461063,0.1832410774150063
RV-6,True,43.3336025668642,0.891924902933483,-937.461075231122,2457875.471812564,0.5656606449524879,171,28.03143153846121,10.074959999881685,40.90903818082838,66,True,11.0,9.0,19.0,30.0,27.0,2.21875,4.580645161290323,4.733333333333333,2.064516129032258,2.1333333333333333,1.0333333333333334,0.0023400909792586,-2.1979839102552554,0.0001,2458445.119533019,0.0,0.0,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.2923076923076923,0.4307692307692308,0.7692307692307692,0.8769230769230769,1.0,1.0,1.0,1.0,28.03143153846121,10.074959999881685,40.90903818085829,-937.470377417401,-1.1826520010015555,0.0001,66.0,13.728867860009348,2.710505431213761e-20,1822.0430499999784,0.8918227848681681,,,,,,180.4090712262866,-936.569283277496,-937.5333742312168,0.610886299383651,-938.3529288472324,,0.4696969696969697,0.1666666666666666,,99.4673572442394,10.78901195388945,-0.7717454081065612,-0.0181588859210785,0.6326841092591332,5.453761739744531,1.1027703614357351,-937.470377417401,-0.0196750548075519,0.0102018529787144,0.3984072655694475,0.0183055359879721,0.0090605521954769,0.0038493650784737,10.52785223708091,51.93879639229383,-1.880064099567662,-0.3873329029132504,1.0391900064283317,3.720152684773256,0.3675882839522472,0.0390124111695999,0.0052361827673393,0.0017397328359313,15.959600954544046,2.4439699098933145,0.8468542211610781,2.6359711106832715,0.3015342025519347,0.042674500699719,0.0069272408557007,0.0028849809619313,26.652696268620318,-2.1889327464818824,1.1635349858871205,-1.260047975870894,0.922644529152473,0.7568491556521914,1.515940820135334,2.531636621451137,8.985295840702178e-10,1.2819748596015754e-09,0.3768262112408959,0.0,0.9748545875714956,0.9731438421279764,3.0791851988998694e-07,-0.021119793015373,-5.2439009261165366e-05,1.1009662947211147,0.8221582263396001,1.0523555957498374,0.9338902997452944,1.898534182738743,0.3395114697740055
RV-7,False,0.0,0.0,-2897.025037092034,2457549.422670372,0.0,331,88.40690999990329,33.98603000026196,79.12812090030795,4,True,5.0,12.0,37.0,44.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0314203694913179,-1.3903744247991128,0.0001,2457724.3729253714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0,1.0,88.40690999974807,33.98603000026196,79.12812090008846,-2897.025037092033,-1.3903744247991128,0.0001,4.0,0.0,0.0,265.2207299992442,0.0,,,,,,0.0,-2897.025037092033,-2897.025037092033,0.0,-2897.025037092033,,0.0,0.0,,330.69916458758627,,-inf,0.0,0.0,-1.0,,-2897.025037092033,,,,,,,0.0037704443389581,,,,,,,,,,0.0067867998101246,,,,,,,,0.0067867998101246,,,,,,1.8,1.8,,,0.00875,0.0,,,,,,,,,,,
RV-8,False,0.0,0.0,677.574343852847,2457401.271192142,0.0,99,37.0746619607888,15.987470000050962,56.73539406418692,52,True,17.0,9.0,2.0,27.0,6.0,1.148148148148148,1.24,1.2653061224489797,1.08,1.1020408163265307,1.020408163265306,0.0016552256078273,-1.884802487704178,0.0001,2458225.914652334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.3137254901960784,0.7450980392156863,0.8823529411764706,1.0,1.0,1.0,1.0,37.0746619607888,15.987470000050962,56.73539406417586,677.5743438528469,-1.305447128484348,0.0001,52.0,11.569796154028284,2.710505431213761e-20,1890.8077600002289,0.0,,,,,,0.0,677.5743438528472,677.5743438528472,0.0,677.5743438528472,0.0,0.0,0.0,0.0,347.4472179346251,-60.01908543093463,-inf,1.0,2.273736754432321e-13,-1.0,1.2531328320802004,677.5743438528472,-3.0564500350492907e-11,3.1238572963563176e-11,3.1419661294435725e-10,1.185675207801568e-10,1.9827420252383533e-12,1.2993697406795804e-11,2.0027630942235723,0.0192307692307692,-1.5661234641645685,-0.0867842240405223,-1.5476517689080895,20.7247634810509,1.3054527204621972e-12,1.57148968625614e-13,6.389203448377495e-14,5.442566015569622e-15,0.5995109730244934,1.5074743850859944,-2.92768318995585,-1.305601628204328,6.807625057567683e-13,6.218693891072099e-15,5.363147209494353e-15,3.606969859845921e-15,24.044940454440752,2.572660730011078,2.8813431509622283,-1.702234659102265,0.0041548911308391,0.0021666767804315,0.2993419315313031,12.005883533500228,1.7603925302441718e-12,6.277933527118028e-10,0.0503562824562515,0.0,0.1716657759336122,0.1508665113667168,4.768485087658883e-30,2.069100446533412e-10,1.5405450909007602e-16,0.3409849527198708,,,,0.0,inf
RV-9,True,48.01318405949576,0.9911887527771828,-315.77117147653735,2457903.186332396,0.6365633948408449,153,45.5352479999885,11.02273999992758,88.07706668203753,36,True,13.0,23.0,8.0,18.0,15.0,2.2,2.75,3.0,1.25,1.3636363636363638,1.0909090909090908,0.0034858744753119,-23.32798190764927,0.0001,2458579.2820118405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.7714285714285714,0.8571428571428571,0.9714285714285714,1.0,1.0,1.0,45.5352479999885,11.02273999992758,88.0770666821331,-315.9328689197393,0.0864577066201215,0.0001,36.0,100.18760512340978,1.3552527156068804e-20,1593.7336799995974,0.9638354183208832,0.2534879069588798,0.3985483226537126,0.5616704961290819,0.7788377634074767,0.976796616263748,0.2754312409520956,-314.83293334131025,-315.9963625650365,0.4916398277428584,-316.760604177952,1.021555968281033,0.3888888888888889,0.1388888888888889,1.6584805202170994,468.1943830786127,6.674560893977547,0.2186355082466638,0.2808596333681136,0.6220530524953897,5.25529066762696,1.052250147380989,-315.9328689197393,-137.3498077472759,111.72736322820676,0.5434699788569379,0.0155684799582389,0.0162879589970975,0.0011630505354951,14.92196613427032,31.747848520683718,2.6892856249047634,0.2112789982903817,3.107335252695895,3.3269116829485554,0.4064714537169345,0.0332688102000908,0.0046555093504288,0.0020842252214818,17.964431798923417,-2.757069936622054,-0.4003671510631748,0.0061361599538123,0.2506927574125639,0.005759333106535,0.004167219669018,0.001772930475517,4.382338208477695,-2.022494641694209,2.6931334497251,-2.4853488841928506,0.7479188723024816,0.4612817030663544,1.2038917416965356,0.2936836988534012,3.1432098035466542e-09,3.788495073209219e-09,0.3816088604923709,0.0,1.0394548719219865,1.054063594066714,1.7580237308640975e-06,0.0481754971519308,1.5085825901716924e-05,0.8474349577318477,0.6247090340940208,1.452608913079927,0.8789027583115395,2.0744818832079384,0.3302362779888134
