,0
GJ,91
logg,4
elogg,4
[Fe/H],4
e[Fe/H],36
R_Rsol,1
eR_Rsol,1
Ref05,1
M_Msol,1
eM_Msol,1
Ref06,1
pi_mas,1
epi_mas,1
Ref08,1
Vr_kms-1,11
eVr_kms-1,11
Ref10,11
ruwe,4
Ref11,4
U_kms-1,22
eU_kms-1,22
V_kms-1,22
eV_kms-1,22
W_kms-1,22
eW_kms-1,22
Ref12,22
sa_m/s/a,20
esa_m/s/a,21
Ref13,20
SKG,262
Ref14,259
SKG_lit,347
Ref14_lit,347
Pop,22
Ref15,22
vsini_flag,30
vsini_kms-1,30
evsini_kms-1,277
Ref16,30
P_d,178
eP_d,202
Ref17,178
pEWHalpha_A,21
epEWHalpha_A,41
Ref18,21
log(LHalpha/Lbol),269
elog(LHalpha/Lbol),269
Ref19,269
1RXS,240
CRT_s-1,210
eCRT_s-1,211
HR1,229
eHR1,229
HR2,240
eHR2,240
Flux_X_E-13_ergcm-2s-1,202
eFlux_X_E-13_ergcm-2s-1,205
LX/LJ,202
eLX/LJ,205
Ref20,200
Activity,262
Ref21,262
FUV_mag,289
eFUV_mag,289
NUV_mag,198
eNUV_mag,198
Ref22,197
u_mag,200
eu_mag,201
Ref23,200
BT_mag,211
eBT_mag,211
Ref24,211
B_mag,44
eB_mag,44
Ref25,44
g_mag,2
eg_mag,2
Ref27,2
VT_mag,191
eVT_mag,191
Ref28,191
V_mag,43
eV_mag,43
Ref29,43
Ra_mag,38
Ref30,38
r_mag,2
er_mag,2
Ref31,2
i_mag,3
ei_mag,3
Ref33,3
IN_mag,60
Ref35,59
eJ_mag,3
eKs_mag,1
W1_mag,1
eW1_mag,2
W2_mag,1
eW2_mag,1
W3_mag,1
eW3_mag,1
W4_mag,1
eW4_mag,14
QFlag_WISE,1
Ref37,1
WideWDS,319
Widerho_arcsec,319
eWiderho_arcsec,338
Ref38,337
WideCompanionName,319
WideCompanionSpT,340
CloseWDS,361
Closerho_arcsec,361
eCloserho_arcsec,363
Ref39,348
CloseCompanionSpT,363
RV,30
Ref40,304
PlanetNum,4
LoRes_spectrum,295
HiRes_spectrum,152
LoRes_imaging,320
HiRes_imaging,69
Survey,2
Notes,324
logg_min,4
logg_max,4
lc_file,133
