Karmn,Name,Comp,GJ,RA_J2016_deg,DE_J2016_deg,RA_J2000,DE_J2000,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,Ref04,R_Rsol,eR_Rsol,Ref05,M_Msol,eM_Msol,Ref06,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref07,pi_mas,epi_mas,Ref08,d_pc,ed_pc,Ref09,Vr_kms-1,eVr_kms-1,Ref10,ruwe,Ref11,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref12,sa_m/s/a,esa_m/s/a,Ref13,SKG,Ref14,SKG_lit,Ref14_lit,Pop,Ref15,vsini_flag,vsini_kms-1,evsini_kms-1,Ref16,P_d,eP_d,Ref17,pEWHalpha_A,epEWHalpha_A,Ref18,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref19,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref20,Activity,Ref21,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref22,u_mag,eu_mag,Ref23,BT_mag,eBT_mag,Ref24,B_mag,eB_mag,Ref25,BP_mag,eBP_mag,Ref26,g_mag,eg_mag,Ref27,VT_mag,eVT_mag,Ref28,V_mag,eV_mag,Ref29,Ra_mag,Ref30,r_mag,er_mag,Ref31,GG_mag,eGG_mag,Ref32,i_mag,ei_mag,Ref33,RP_mag,eRP_mag,Ref34,IN_mag,Ref35,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2M,Ref36,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref37,Multiplicity,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref38,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref39,CloseCompanionSpT,RV,Planet,Ref40,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,Class,Survey,Notes,Gaia_id_1,2MASS_id,TIC_id,Teff_min_K,Teff_max_K,logg_min,logg_max,is_GTO,rv_file,lc_file,has_rv,has_lc,InstBand_nominal,InstBand_ranged
J23585+076,Wolf 1051,AB,4383,359.636419705836,7.65694708117931,23:58:32.65,+07:39:30.1,100.839686012448,-52.9310493417547,EDR3,M3.0 V,3.0,PMSU,3496.0,20.0,4.97,0.08,-0.06,0.06,Marf21,0.0293083,0.0004239,Karmn,0.46667,0.00632,Karmn,0.4684,0.0129,Karmn,82.4694775514765,0.35226285,-315.34631284094,0.1627385,EDR3,59.0941789236859,0.27797133,EDR3,16.92214053,0.07959955,EDR3,-13.54,0.08,Marf21,13.314306,EDR3,,,,,,,,0.0400316509621497,0.0018772203148098,Wol17,,,,,,,<,2.0,,Rein18,,,,0.042,0.01,Sche19,,,,,,,,,,,,,,,,,,,,21.316,0.297,GALEX,15.835,0.01,SDSS9,14.75,0.71,TYC2,13.221,0.01,UCAC4,12.0095,0.003,EDR3,12.465,0.01,UCAC4,11.944,0.194,TYC2,11.722,0.13,UCAC4,11.372,UCAC4,11.144,0.1,UCAC4,10.6636,0.0029,EDR3,9.865,0.1,UCAC4,9.4744,0.0038,EDR3,10.38,US-B1,7.907,0.023,7.29,0.029,7.063,0.021,AAA,2M,6.862,0.065,6.738,0.021,6.693,0.016,6.483,0.07,AAAA,AllWISE,ST3,,,,,,,,,,Karmn,,CARMENES+HARPS,No,,0.0,,FEROS,,(FastCam),Delta+,GTO,,2746709861572970624,23583264+0739304,408486498,3476.0,3516.0,4.89,5.05,True,../data/CARMENES_GTO_RVsJ23585+076.dat,,True,False,He3-burning,He3-burning
J23556-061,GJ 912,AB,912,358.913616654316,-6.14428302714463,23:55:39.78,-06:08:33.4,88.1299331878002,-65.1754910573533,EDR3,M2.5 V,2.5,PMSU,3639.0,30.0,4.84,0.14,-0.02,0.08,Marf21,0.0460607,0.0003012,Karmn,0.53995,0.00908,Karmn,0.5457,0.0153,Karmn,-480.237277607078,0.058738317,-378.885800139448,0.027684215,EDR3,55.9199596857383,0.043934,EDR3,17.88270245,0.0140497,EDR3,17.067161772975,0.582480369328724,EDR3,2.085181,EDR3,,,,,,,,0.1527063525656542,0.002503058443926,Wol17,,,,,,,<,2.0,,Rein18,,,,0.074,0.011,Sche19,,,,,,,,,,,,,,,,,,,,,,,14.918,0.005,SDSS9,14.263,0.756,TYC2,12.585,0.043,APASS9,11.3811,0.0029,EDR3,11.848,0.044,APASS9,11.305,0.128,TYC2,11.17,0.062,APASS9,10.784,UCAC4,10.575,0.01,CMC15,10.1541,0.0028,EDR3,9.539,0.001,SDSS9,9.0467,0.0038,EDR3,9.85,US-B1,7.6,0.018,6.964,0.044,6.715,0.024,AAA,2M,6.584,0.072,6.477,0.021,6.437,0.016,6.381,0.06,AAAA,AllWISE,SB1,,,,,,,,,,Karmn,,CARMENES+HARPS,No,,0.0,,FEROS,,(FastCam),Delta+,GTO,,2442996678074668288,23553981-0608327,9759680,3609.0,3669.0,4.7,4.98,True,../data/CARMENES_GTO_RVsJ23556-061.dat,,True,False,He3-burning,He3-burning
J23492+024,BR Psc,-,908,357.306603823134,2.396917944196,23:49:12.53,+02:24:04.4,93.5674666869375,-56.885396454986,EDR3,M1.0 V,1.0,PMSU,3573.0,23.0,4.94,0.13,-0.55,0.08,Marf21,0.0255593,0.0002067,Karmn,0.41722,0.00563,Karmn,0.416,0.012,Karmn,992.720389028549,0.035269726,-968.806466326766,0.019325616,EDR3,169.21632962255,0.028058065,EDR3,5.90959515,0.00097988,EDR3,-71.131,0.0005,Sou18,1.1554246,EDR3,-8.81529,0.00467,-70.17176,0.00385,39.59608,0.00253,Karmn,0.2613655381290241,0.0005883831741319,Wol17,,,,,TD,Karmn,<,2.0,,Rein18,49.900001525878906,3.5,SM18,-0.023,0.014,Sche19,,,,J234911.9+022422,0.0512,0.0135,-0.31,0.23,-0.51,0.32,3.41,0.9,0.0001416125383568,0.08,1RXS,Flare?,Ger99,21.0,0.204,18.668,0.047,GALEX,15.318,0.015,SDSS9,10.886,0.058,TYC2,10.444,0.03,UCAC4,9.2166,0.0029,EDR3,10.246,0.25,UCAC4,9.194,0.021,TYC2,9.416,0.03,UCAC4,8.923,UCAC4,8.472,0.0,CMC15,8.1529,0.0028,EDR3,7.936,0.02,UCAC4,7.1208,0.0038,EDR3,7.34,US-B1,5.827,0.023,5.282,0.031,5.043,0.02,AAA,2M,4.967,0.199,4.512,0.123,4.765,0.016,4.654,0.031,BBAA,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS+SOPHIE,No,,0.0,,CAFE FEROS,,FastCam [WD15],Alpha,GTO,,2739689239311660672,23491255+0224037,267255253,3550.0,3596.0,4.8100000000000005,5.07,True,../data/CARMENES_GTO_RVsJ23492+024.dat,,True,False,He3-burning,He3-burning
J23419+441,HH And,-,905,355.480015258156,44.1703757007478,23:41:55.04,+44:10:38.8,109.98933805856,-16.9473504942603,EDR3,M5.0 V,5.0,AF15a,3186.0,41.0,5.15,0.18,0.04,0.17,Marf21,0.0023492,1.709e-05,Karmn,0.15908,0.00413,Karmn,0.14382,0.00917,Karmn,112.5274649335,0.036434025,-1591.64976181455,0.026793785,EDR3,316.481186782269,0.044448785,EDR3,3.15974548,0.00044378,EDR3,-77.764,0.0108,Sou18,1.0273284,EDR3,32.46441,0.00377,-74.59514,0.00973,0.30264,0.00442,Karmn,0.1849038691061918,0.0012658675240695,Wol17,,,,,TD-D,Karmn,<,2.0,,Rein18,106.0,6.0,DA19,-0.375,0.014,Sche19,-4.949,0.016,Sche19,J234155.0+441047,0.177,0.0238,0.15,0.14,-0.16,0.18,16.12,2.17,0.0017978635448043,0.46,1RXS,Flare?,Ger99,,,,,,15.619,0.005,SDSS9,,,,,,,12.5464,0.0035,EDR3,12.99,0.003,PS1,,,,,,,11.881,UCAC4,11.682,0.001,SDSS9,10.3793,0.0028,EDR3,9.278,0.001,PS1,9.017,0.0038,EDR3,8.99,US-B1,6.884,0.026,6.247,0.027,5.929,0.02,AAA,2M,5.734,0.16,5.427,0.057,5.396,0.015,5.249,0.035,BAAA,AllWISE,Single,,,,,,,,,,,,CARMENES,No,,0.0,CAFOS,,,(Astralux) [LuckyCam],Alpha,GTO,,1926461164913660160,23415498+4410407,2041185141,3145.0,3227.0,4.970000000000001,5.33,True,../data/CARMENES_GTO_RVsJ23419+441.dat,,True,False,none,none
J23351-023,GJ 1286,-,1286,353.797069437715,-2.3927993943669,23:35:10.46,-02:23:20.6,83.2605782845797,-59.2591523718576,EDR3,M5.5 V,5.5,PMSU,3136.0,38.0,5.27,0.17,-0.13,0.17,Marf21,0.001481,7.852e-06,Karmn,0.13037,0.00318,Karmn,0.11352,0.00859,Karmn,781.418668519508,0.053010795,-841.516051594594,0.03575098,EDR3,139.338893532377,0.04413923,EDR3,7.1767471,0.00227342,EDR3,-41.0559674258505,0.0200114080276227,Lafa20,1.1472371,EDR3,-11.91317,0.00881,-53.19092,0.0128,15.51724,0.0178,Karmn,0.2183382900508909,0.0010045133942191,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,-0.821,0.015,Sche19,-4.665,0.008,Sche19,,,,,,,,,,,,,,,21.594,0.127,20.418,0.056,GALEX,18.253,0.021,SDSS9,,,,,,,14.9521,0.0041,EDR3,15.349,0.001,PS1,,,,,,,14.522,UCAC4,13.998,0.004,PS1,12.6237,0.003,EDR3,11.993,0.029,PS1,11.2459,0.004,EDR3,,,9.148,0.021,8.505,0.033,8.183,0.02,AAA,2M,7.972,0.023,7.796,0.02,7.608,0.02,7.278,0.133,AAAB,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS,No,,0.0,,,TCP,FastCam (Astralux),Alpha,GTO,,2640434056928150400,23351050-0223214,471016474,3098.0,3174.0,5.1,5.44,True,../data/CARMENES_GTO_RVsJ23351-023.dat,,True,False,none,none
J23340+001,GJ 899,-,899,353.509479829743,0.17524273262486,23:34:03.33,+00:10:45.9,85.5048784692324,-56.9627188178184,EDR3,M2.5 V,2.5,PMSU,3530.0,21.0,4.91,0.09,-0.25,0.08,Marf21,0.0263392,0.0001302,Karmn,0.43392,0.00527,Karmn,0.434,0.012,Karmn,-993.091286898187,0.02545734,-937.702601927091,0.022047991,EDR3,71.2339303994431,0.022930454,EDR3,14.03825388,0.00451896,EDR3,-4.555,0.0244,Sou18,1.1814288,EDR3,87.77071,0.02107,-23.46208,0.02166,-5.31557,0.02331,Karmn,0.5893570203327487,0.0072938973833495,Wol17,,,,,D,Karmn,<,2.0,,Rein18,,,,0.081,0.009,Sche19,,,,,,,,,,,0.49,0.1,0.0001108272063248,0.04,EPIC/XMM-Newton,Flare?,Ger99,,,20.877,0.234,GALEX,15.363,0.007,SDSS9,12.822,0.309,TYC2,12.609,0.01,UCAC4,11.3974,0.0031,EDR3,12.084,0.001,SDSS9,11.236,0.103,TYC2,11.037,0.01,UCAC4,10.8,UCAC4,10.477,0.02,UCAC4,10.1767,0.0028,EDR3,9.566,0.001,SDSS9,9.073,0.0038,EDR3,9.51,US-B1,7.664,0.024,7.07,0.034,6.828,0.02,AAA,2M,6.727,0.069,6.549,0.022,6.541,0.016,6.318,0.07,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+SOPHIE,No,,0.0,,FEROS,,(FastCam) [WD15],Alpha,GTO,,2644439955745152512,23340328+0010452,422604600,3509.0,3551.0,4.82,5.0,True,../data/CARMENES_GTO_RVsJ23340+001.dat,,True,False,He3-burning,He3-burning
J23216+172,LP 462-027,-,4333,350.403536634968,17.2842423987595,23:21:37.45,+17:17:25.4,94.2544666474573,-40.5327722575648,EDR3,M4.0 V,4.0,PMSU,3398.0,47.0,4.81,0.11,-0.01,0.1,Marf21,0.0169402,0.0001172,Karmn,0.3755,0.0105,Karmn,0.3722,0.0149,Karmn,-536.974521968169,0.030201955,-1382.40954484662,0.02348076,EDR3,94.3667239494281,0.028674357,EDR3,10.59695577,0.00322,EDR3,-6.511,0.0148,Sou18,1.0152965,EDR3,57.81479,0.01266,-33.26916,0.01637,-33.81138,0.01752,Karmn,0.5548697097742642,0.0177048686160331,Wol17,,,,,D,Karmn,<,2.0,,Rein18,74.7,0.7,DA19,0.022,0.011,Sche19,,,,,,,,,,,,,,,,,,,,,,,15.323,0.006,SDSS9,,,,13.166,0.01,UCAC4,11.9434,0.0042,EDR3,12.382,0.01,UCAC4,11.656,0.009,TYC2,11.714,0.02,UCAC4,11.388,UCAC4,11.132,0.07,UCAC4,10.3588,0.0028,EDR3,9.646,0.19,UCAC4,9.1259,0.0042,EDR3,8.942,Koe10,7.391,0.029,6.771,0.024,6.507,0.016,AAA,2M,6.332,0.09,6.142,0.028,6.165,0.015,6.049,0.047,AAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+UVES+SOPHIE,No,,0.0,,FEROS,,FastCam [WD15],Alpha,GTO,,2817999068780218368,23213752+1717284,435198528,3351.0,3445.0,4.699999999999999,4.92,True,../data/CARMENES_GTO_RVsJ23216+172.dat,,True,False,He3-burning,He3-burning
J23113+085,NLTT 56083,AB,,347.847703374394,8.5156555015212,23:11:23.79,+08:31:01.4,85.2032746546475,-46.8958093450658,EDR3,M3.5 V,3.5,Lep13,3477.0,38.0,4.81,0.1,-0.07,0.09,Marf21,0.024219,0.003285,Karmn,0.4289,0.0306,Karmn,0.4285,0.0339,Karmn,-320.5,5.8,-316.2,5.8,PPMXL,49.8,3.3,Fin18,20.1,1.3,Fin18,-10.73,0.1,Marf21,,,,,,,,,,0.063816078623847,0.0028509528830254,Wol17,,,,,,,<,2.0,,Rein18,,,,0.026,0.013,Sche19,,,,,,,,,,,,,,,,,,,,,,,15.938,0.007,SDSS9,,,,14.083,0.012,APASS9,12.8292,0.005,EDR3,13.255,0.009,PS1,,,,12.6,0.014,APASS9,12.275,UCAC3,12.07,0.001,SDSS9,11.8568,0.0036,EDR3,10.671,0.001,SDSS9,10.1226,0.0146,EDR3,10.03,US-B1,8.466,0.029,7.843,0.053,7.556,0.021,AAA,2M,7.342,0.034,7.27,0.021,7.17,0.017,7.1,0.139,AAAB,AllWISE,Resolved Physical,,,,,,,,,,Sad21,,CARMENES,No,,0.0,,FEROS,,,Delta+,GTO,,2665937297853225216,23112378+0831013,402934167,3439.0,3515.0,4.71,4.909999999999999,True,../data/CARMENES_GTO_RVsJ23113+085.dat,,True,False,He3-burning,He3-burning
J23064-050,2MUCD 12171 (Trappist-1),-,,346.626521627644,-5.04352831942953,23:06:29.37,-05:02:29.0,69.715254888078,-56.6490527597599,EDR3,M8.0 V,8.0,Schm07,2600.0,50.0,5.0,0.25,0.0,,Karmn,0.000495,3.063e-06,Karmn,0.10965,0.00423,Karmn,0.092,0.009,Karmn,930.787522581778,0.08676905,-479.037540952886,0.07048742,EDR3,80.2123161263575,0.07160574,EDR3,12.46691342,0.01112925,EDR3,-53.3228531807973,0.0282432826053039,Lafa20,1.0505682,EDR3,-44.33206,0.04457,-67.53437,0.02957,12.02279,0.0321,Karmn,0.2922276763413274,0.0044665779502806,Wol17,,,,,D,Karmn,<,2.0,,Rein18,3.304,0.011,DA19,-1.98,0.14,Sche19,-4.884,0.029,Sche19,,,,,,,,,,,,,,,,,,,,23.222,0.693,SDSS9,,,,,,,19.0058,0.0381,EDR3,19.623,0.016,SDSS9,,,,,,,,,17.996,0.007,SDSS9,15.6226,0.0031,EDR3,15.092,0.004,SDSS9,14.104,0.0043,EDR3,,,11.354,0.022,10.718,0.021,10.296,0.023,AAA,2M,10.068,0.023,9.807,0.02,9.51,0.044,8.565,,AAAU,AllWISE,Single,,,,,,,,,,,,CARMENES+UVES,Yes,Gill16 Gill17,7.0,,,,(Astralux),Gamma+,GTO,,2635476908753563008,23062928-0502285,278892590,2550.0,2650.0,4.75,5.25,True,../data/CARMENES_GTO_RVsJ23064-050.dat,,True,False,none,none
J22565+165,HD 216899,-,880,344.140221731213,16.5521693722773,22:56:34.80,+16:33:12.4,87.0560529867878,-38.1890298596741,EDR3,M1.5 V,1.5,PMSU,3798.0,21.0,4.8,0.12,0.03,0.06,Marf21,0.0512734,0.0005128,Karmn,0.52298,0.00635,Karmn,0.5278,0.0135,Karmn,-1034.73341137994,0.026007721,-284.130867124812,0.025290629,EDR3,145.623410104997,0.025450103,EDR3,6.86702776,0.00120013,EDR3,-27.334,0.0109,Sou18,1.0549177,EDR3,32.48442,0.00519,-16.63869,0.00879,25.20316,0.0073,Karmn,0.1812176345942357,0.0006333916694393,Wol17,,,,,D,Karmn,<,2.0,,Rein18,39.5,0.2,DA19,0.07,0.014,Sche19,,,,J225635.3+163332,0.036,0.0109,-0.34,0.28,0.65,1.44,2.34,0.71,6.157066865136601e-05,0.04,1RXS,,,20.86,0.214,17.62,0.028,GALEX,14.706,0.011,SDSS9,10.52,0.039,TYC2,10.072,0.01,UCAC4,8.8986,0.0034,EDR3,9.82,0.02,UCAC4,8.879,0.017,TYC2,9.142,0.02,UCAC4,8.809,UCAC4,8.375,0.01,PS1,7.795,0.0028,EDR3,7.299,0.001,PS1,6.7478,0.0039,EDR3,7.05,US-B1,5.36,0.02,4.8,0.036,4.523,0.016,AEA,2M,4.396,0.353,4.172,0.077,4.271,0.015,4.22,0.025,BAAA,AllWISE,Single,,,,,,,,,,,,CARMENES+HARPS+UVES,No,,0.0,,,,(FastCam) [WD15],Alpha,GTO,,2828928008202069376,22563497+1633130,217331269,3777.0,3819.0,4.68,4.92,True,../data/CARMENES_GTO_RVsJ22565+165.dat,,True,False,He3-burning,He3-burning
