ID,Pulsating,frequency,amplitudeRV,offsetRV,refepochRV,phase,S1_Ps,S1_Tobs,S2_errorRV_dist_idx,S2_errorRV_dist_name,S2_errorRV_dist_loc,S2_errorRV_dist_scale,S2_errorRV_mean,S2_errorRV_median,S2_errorRV_stdev,S3_sampling_idx,S3_Tobs,S3_Ps_mean,S3_Ps_median,S3_Ps_stdev,S3_NumPoints,S4_errorRV_mean,S4_errorRV_median,S4_errorRV_stdev,S1_file,S2_file,S3_file,S4_file
Star-00000,True,10.33,1.14,0.0,2457582.2576,0.9,0.0016,100.0,209,genextreme,1.2943603029762651,0.2564943316959458,1.4967718916497337,1.39,0.4210019259668551,59,1581.730057141278,158.17300571412778,12.486990288132802,423.4736429654166,11,1.5390909090909093,1.37,0.46627059146252187,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00000.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00000.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00000.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00000.dat
Star-00001,True,14.92,1.3,0.0,2457522.4056,0.02,0.0016,100.0,78,lognorm,1.0989266961772746,0.3464617498740505,1.5862547799235214,1.45,0.40604131118570896,129,816.772693128325,13.389716280792214,3.8076573074795306,30.022301496340166,62,1.5508064516129034,1.395,0.43469788688421584,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00001.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00001.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00001.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00001.dat
Star-00002,False,0.0,0.0,0.0,2457549.4794,0.0,0.0016,100.0,218,lognorm,1.0550033268645311,0.2237212839511999,1.4263445384873843,1.28,0.42089601914485775,119,1822.0430537154898,28.03143159562292,10.074960613623261,40.90903752992604,66,1.459242424242424,1.245,0.5811777764997156,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00002.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00002.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00002.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00002.dat
Star-00003,False,0.0,0.0,0.0,2457459.859,0.0,0.0016,100.0,28,pareto,0.7494809912681801,0.5986702809644189,1.9211975808387065,1.61,0.8881592328788912,65,1890.8077615569346,37.07466199131244,15.987472744192928,56.735394442751414,52,1.9653846153846157,1.57,0.9801362965237608,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00003.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00003.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00003.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00003.dat
Star-00004,True,28.74,0.9,0.0,2457450.6471,0.29,0.0016,100.0,6,t,1.2037546088706814,0.16394473804087267,1.240454072734836,1.2,0.26344334376925627,144,2088.089735415764,90.786510235468,26.94728226121515,162.15150220065254,24,1.3429166666666668,1.275,0.2855036363847033,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00004.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00004.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00004.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00004.dat
Star-00005,False,0.0,0.0,0.0,2457419.0661,0.0,0.0016,100.0,180,t,1.2138718340659282,0.19642136231430296,1.2478499544007295,1.21,0.32807448042193504,59,1581.730057141278,158.17300571412778,12.486990288132802,423.4736429654166,11,1.3281818181818184,1.31,0.219454620772752,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00005.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00005.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00005.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00005.dat
Star-00006,False,0.0,0.0,0.0,2457544.964,0.0,0.0016,100.0,82,dweibull,1.3302613498770315,0.2659342194151384,1.371268299707205,1.33,0.32835859769498416,151,734.9662495981902,183.74156239954755,187.45105330459774,162.32163159532902,5,1.2040000000000002,1.23,0.1303226764611593,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00006.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00006.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00006.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00006.dat
Star-00007,False,0.0,0.0,0.0,2457574.1733,0.0,0.0016,100.0,96,expon,1.0861831594625653,0.7582700437326291,1.8088931377097965,1.61,0.6392576016222009,126,693.0662203608081,63.006020032800734,13.987841469235718,96.04799274104019,12,1.8133333333333332,1.56,0.6929325764860212,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00007.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00007.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00007.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00007.dat
Star-00008,False,0.0,0.0,0.0,2457432.6469,0.0,0.0016,100.0,218,lognorm,1.0550033268645311,0.2237212839511999,1.4263445384873843,1.28,0.42089601914485775,64,1595.774939188268,93.86911406989812,21.852922558784485,232.5989633133582,18,1.7077777777777776,1.32,0.7672646621136641,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00008.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00008.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00008.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00008.dat
Star-00009,False,0.0,0.0,0.0,2458828.2413,0.0,0.0016,100.0,115,lognorm,1.1074600000438286,0.007220383826371669,1.3018014111774212,1.11,0.3076445854273945,180,1678.2207446629182,34.24940295230445,10.960469346959144,56.98605594709292,50,1.2868000000000002,1.11,0.3061531642821938,../data/SYNTH_RV_SAMPLES/S1_FINAL_ts_files/S1-RV_LP_T100d_Star-00009.dat,../data/SYNTH_RV_SAMPLES/S2_FINAL_ts_files/S2-RV_LP_T100d_Star-00009.dat,../data/SYNTH_RV_SAMPLES/S3_FINAL_ts_files/S3-RV_LP_Star-00009.dat,../data/SYNTH_RV_SAMPLES/S4_FINAL_ts_files/S4-RV_LP_Star-00009.dat
