Karmn,Name,Comp,GJ,RA_J2016_deg,DE_J2016_deg,RA_J2000,DE_J2000,l_J2016_deg,b_J2016_deg,Ref01,SpT,SpTnum,Ref02,Teff_K,eTeff_K,logg,elogg,[Fe/H],e[Fe/H],Ref03,L_Lsol,eL_Lsol,Ref04,R_Rsol,eR_Rsol,Ref05,M_Msol,eM_Msol,Ref06,muRA_masa-1,emuRA_masa-1,muDE_masa-1,emuDE_masa-1,Ref07,pi_mas,epi_mas,Ref08,d_pc,ed_pc,Ref09,Vr_kms-1,eVr_kms-1,Ref10,ruwe,Ref11,U_kms-1,eU_kms-1,V_kms-1,eV_kms-1,W_kms-1,eW_kms-1,Ref12,sa_m/s/a,esa_m/s/a,Ref13,SKG,Ref14,SKG_lit,Ref14_lit,Pop,Ref15,vsini_flag,vsini_kms-1,evsini_kms-1,Ref16,P_d,eP_d,Ref17,pEWHalpha_A,epEWHalpha_A,Ref18,log(LHalpha/Lbol),elog(LHalpha/Lbol),Ref19,1RXS,CRT_s-1,eCRT_s-1,HR1,eHR1,HR2,eHR2,Flux_X_E-13_ergcm-2s-1,eFlux_X_E-13_ergcm-2s-1,LX/LJ,eLX/LJ,Ref20,Activity,Ref21,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref22,u_mag,eu_mag,Ref23,BT_mag,eBT_mag,Ref24,B_mag,eB_mag,Ref25,BP_mag,eBP_mag,Ref26,g_mag,eg_mag,Ref27,VT_mag,eVT_mag,Ref28,V_mag,eV_mag,Ref29,Ra_mag,Ref30,r_mag,er_mag,Ref31,GG_mag,eGG_mag,Ref32,i_mag,ei_mag,Ref33,RP_mag,eRP_mag,Ref34,IN_mag,Ref35,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,QFlag_2M,Ref36,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,QFlag_WISE,Ref37,Multiplicity,WideWDS,Widerho_arcsec,eWiderho_arcsec,Ref38,WideCompanionName,WideCompanionSpT,CloseWDS,Closerho_arcsec,eCloserho_arcsec,Ref39,CloseCompanionSpT,RV,Planet,Ref40,PlanetNum,LoRes_spectrum,HiRes_spectrum,LoRes_imaging,HiRes_imaging,Class,Survey,Notes,Gaia_id_1,2MASS_id,TIC_id,Teff_min_K,Teff_max_K,logg_min,logg_max,is_GTO,rv_file,lc_file,has_rv,has_lc
J23598+477,LP 149-014,-,4385,359.962055863497,47.7614777446423,23:59:49.51,+47:45:44.5,114.027673787493,-14.2163531729172,EDR3,M5.0 V,5.0,PMSU,3000.0,50.0,5.0,0.5,0.0,,Cif20,0.0020977,2.107e-05,Cif20,0.16954,0.00571,Karmn,0.1549,0.0101,Karmn,872.380880176633,0.021710765,-199.492469361409,0.020372013,EDR3,52.1131257666538,0.024861008,EDR3,19.1890236,0.00915429,EDR3,-47.0,15.0,Haw96,0.9966826,EDR3,-45.59345,5.9199,-79.35327,13.28116,-21.44752,3.68336,Karmn,0.3508944607511596,0.0061277024872748,Wol17,,,,,TD-D,Karmn,<,4.5,,Jen09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4174,0.0059,EDR3,16.772,0.006,PS1,,,,,,,16.178,UCAC3,15.458,0.004,PS1,14.2784,0.0028,EDR3,13.579,0.0,PS1,12.9329,0.0039,EDR3,12.52,US-B1,10.866,0.02,10.263,0.019,9.93,0.016,AAA,2M,9.73,0.023,9.537,0.02,9.32,0.033,8.635,0.314,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,,Gamma,,,1927517417630958208,23594940+4745447,177697529,2950.0,3050.0,4.5,5.5,False,,,False,False
J23590+208,G 129-051,-,,359.753066340476,20.8603362317396,23:59:00.42,+20:51:39.0,106.785616401381,-40.361995693537,EDR3,M2.5 V,2.5,AF15a,,,,,,,,,,,,,,,,,278.189446813427,0.45827797,-112.348749849946,0.29285738,EDR3,19.2839991246038,0.44793814,EDR3,51.85646367,1.20454724,EDR3,,,,14.961032,EDR3,,,,,,,,0.0479528083286801,0.0013908668704179,Wol17,,,,,,,,,,,,,,0.0,0.4,AF15a,,,,,,,,,,,,,,,,,,22.251,0.486,21.041,0.191,GALEX,15.875,0.007,SDSS9,,,,14.304,0.06,UCAC4,13.1009,0.0038,EDR3,13.554,0.05,UCAC4,,,,12.871,0.03,UCAC4,12.781,UCAC3,12.284,0.01,UCAC4,12.2646,0.0028,EDR3,11.031,0.04,UCAC4,10.6444,0.004,EDR3,10.16,US-B1,9.072,0.029,8.421,0.031,8.194,0.021,AAA,2M,8.055,0.022,8.004,0.021,7.879,0.02,7.515,0.118,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,CAFOS,,,,Delta,,,2846620421604285568,23590042+2051387,2053997903,,,,,False,,,False,False
J23587+467,BD+45 4378 AB,AB,913,359.685431951486,46.7291523162794,23:58:43.49,+46:43:44.7,113.61624444422,-15.1872236048473,EDR3,M0.0 V+,0.0,PMSU,,,,,,,,,,,,,,,,,652.814806774527,1.24050392886774,13.3465341454173,1.09307671217791,DR2,58.406685621756,0.898395536514652,DR2,17.12132762,0.26335554,DR2,2.65430623015336,1.18938422359699,EDR3,,,,,,,,,,0.1801029415341037,0.0069975934625222,Wol17,,,,,,,,,,,,,,0.498,,PMSU,,,,,,,,,,,,,,,,,,,,,,,,,,11.506,0.057,TYC2,11.024,0.02,UCAC4,9.8434,0.0036,EDR3,10.649,0.05,UCAC4,9.816,0.023,TYC2,9.78,0.14,UCAC4,9.05,UCAC3,9.439,0.07,UCAC4,8.844,0.0029,EDR3,8.506,0.06,UCAC4,7.8906,0.0043,EDR3,7.96,US-B1,6.659,0.029,6.021,0.023,5.831,0.02,AAA,2M,5.732,0.13,5.535,0.047,5.617,0.014,5.496,0.034,BAAA,AllWISE,Resolved Physical,,,,,,,BAG34,62,2,Bale07,,,No,,0.0,,,,(FastCam) [Bale07],Delta,,# WDS BAG34 consistent wtih Hei415.,1927184643563033856,23584342+4643452,2041238829,,,,,False,,,False,False
J23585+076,Wolf 1051,AB,4383,359.636419705836,7.65694708117931,23:58:32.65,+07:39:30.1,100.839686012448,-52.9310493417547,EDR3,M3.0 V,3.0,PMSU,3496.0,20.0,4.97,0.08,-0.06,0.06,Marf21,0.0293083,0.0004239,Karmn,0.46667,0.00632,Karmn,0.4684,0.0129,Karmn,82.4694775514765,0.35226285,-315.34631284094,0.1627385,EDR3,59.0941789236859,0.27797133,EDR3,16.92214053,0.07959955,EDR3,-13.54,0.08,Marf21,13.314306,EDR3,,,,,,,,0.0400316509621497,0.0018772203148098,Wol17,,,,,,,<,2.0,,Rein18,,,,0.042,0.01,Sche19,,,,,,,,,,,,,,,,,,,,21.316,0.297,GALEX,15.835,0.01,SDSS9,14.75,0.71,TYC2,13.221,0.01,UCAC4,12.0095,0.003,EDR3,12.465,0.01,UCAC4,11.944,0.194,TYC2,11.722,0.13,UCAC4,11.372,UCAC4,11.144,0.1,UCAC4,10.6636,0.0029,EDR3,9.865,0.1,UCAC4,9.4744,0.0038,EDR3,10.38,US-B1,7.907,0.023,7.29,0.029,7.063,0.021,AAA,2M,6.862,0.065,6.738,0.021,6.693,0.016,6.483,0.07,AAAA,AllWISE,ST3,,,,,,,,,,Karmn,,CARMENES+HARPS,No,,0.0,,FEROS,,(FastCam),Delta+,GTO,,2746709861572970624,23583264+0739304,408486498,3476.0,3516.0,4.89,5.05,True,../data/CARM_VIS_RVs/J23585+076.dat,,True,False
J23582-174,LP 764-040,AB,,359.558095010412,-17.4090406334566,23:58:13.69,-17:24:32.9,68.5278654096467,-74.3367577917197,EDR3,M1.9 V+,1.9,Shk09,,,,,,,,,,,,,,,,,225.776386287927,0.044481546,19.5568338051139,0.03322966,EDR3,29.9805993974701,0.043615174,EDR3,33.35490351,0.04852404,EDR3,,,,1.1669369,EDR3,,,,,,,,0.0238937864961226,0.00045899949461206233,Wol17,,,,,,,=,28.6,1.1,Fou18,0.434093,,Kira12,-3.26,,Shk10,,,,J235812.9-172437,0.314,0.0333,-0.32,0.1,-0.08,0.18,20.77,2.2,0.0086260506904422,1.87,1RXS,,,,,,,,,,,,,,13.507,0.01,UCAC4,12.9426,0.0137,EDR3,12.745,0.01,UCAC4,,,,12.009,0.01,UCAC4,11.644,UCAC4,11.4,0.04,UCAC4,11.7105,0.0032,EDR3,10.281,0.05,UCAC4,10.3237,0.0423,EDR3,9.72,US-B1,8.311,0.023,7.699,0.027,7.435,0.029,AAA,2M,7.201,0.036,7.208,0.019,7.148,0.016,6.98,0.093,AAAA,AllWISE,Resolved Physical,,,,,,,DAE8,1904,2,,M1.9 V,HARPS,No,,0.0,,,,[Dae07 AstraLux],Delta,,#20-150Ma Shk09.,2414454421367861376,23581366-1724338,2052312661,,,,,False,,,False,False
J23578+386,LP 291-034,AB,4381,359.457017512767,38.6290040064645,23:57:49.91,+38:37:46.8,111.582137653103,-23.0583626859513,EDR3,M3.0 V+,3.0,PMSU,,,,,,,,,,,,,,,,,-161.933068590168,0.25322145,-147.236457663061,0.15793024,EDR3,39.4560921378223,0.23130673,EDR3,25.34462857,0.14857992,EDR3,-6.24497529398269,0.538545836112999,EDR3,8.853418,EDR3,,,,,,,,0.0181070358530364,0.0007173775333929348,Wol17,,,,,,,,,,,,,,-3.76,,PMSU,,,,J235750.9+383748,0.228,0.0274,0.05,0.12,-0.23,0.16,19.55,2.35,0.0115198713693148,2.65,1RXS,Flare?,Ger99,,,,,,,,,,,,14.124,0.05,UCAC4,12.8727,0.0038,EDR3,13.341,0.03,UCAC4,,,,12.62,0.03,UCAC4,12.509,UCAC3,12.021,0.05,UCAC4,11.6226,0.0031,EDR3,10.701,0.04,UCAC4,10.2985,0.0039,EDR3,9.91,US-B1,8.691,0.02,8.053,0.021,7.862,0.026,AAA,2M,7.687,0.025,7.564,0.02,7.469,0.02,7.486,0.169,AAAB,AllWISE,Resolved Physical,,,,,,,MCT14,0.5374,0.0009,Bow15,,,No,,0.0,,,,[McC01 Bow15 Ans15],Delta,,#20-300Ma Shk09.,2881373338459356416,23574989+3837468,291836643,,,,,False,,,False,False
J23577+233,GJ 1292,-,1292,359.438842700354,23.300038625273,23:57:44.14,+23:18:16.5,107.25189049681,-37.9317260458219,EDR3,M3.5 V,3.5,PMSU,,,,,,,,,,,,,,,,,1021.2375324744,0.8231738,-1021.63664796636,0.40102482,EDR3,59.5544742702027,0.83772224,EDR3,16.79134964,0.2361953,EDR3,,,,25.647442,EDR3,,,,,,,,0.6730502930804885,0.0250564013244325,Wol17,,,,,,,=,5.2,,Jeff18,,,,0.12,0.04,Sche15,,,,,,,,,,,,,,,,,,,,21.435,0.256,GALEX,15.328,0.006,SDSS9,,,,13.23,0.03,UCAC4,11.9475,0.0109,EDR3,12.453,0.03,UCAC4,,,,11.695,0.07,UCAC4,11.371,UCAC4,11.156,0.02,UCAC4,10.6596,0.0038,EDR3,9.923,0.001,PS1,9.4326,0.0066,EDR3,9.17,US-B1,7.8,0.034,7.321,0.08,7.06,0.024,AAA,2M,6.91,0.061,6.679,0.022,6.63,0.017,6.346,0.052,AAAA,AllWISE,Resolved Visual,,,,,,,,4.62,,CC16,,,No,,0.0,,FEROS,,FastCam,Delta,,,2848303052351577344,23574410+2318169,2054009684,,,,,False,,,False,False
J23577+197,LP 404-006,-,4380,359.438850695363,19.767597251201,23:57:45.18,+19:46:11.1,106.020522336904,-41.334612051679,EDR3,M3.5 V,3.5,PMSU,3300.0,50.0,4.5,0.5,0.0,,Cif20,0.01479,0.0001986,Cif20,0.3721,0.0115,Karmn,0.3686,0.0157,Karmn,128.259170983065,0.033613387,-486.610522287743,0.020665003,EDR3,48.8921310743834,0.035589814,EDR3,20.45318905,0.01488839,EDR3,12.0,5.0,Terr15,1.4332457,EDR3,7.38837,1.03631,-22.02196,3.60869,-44.55453,3.30223,Karmn,0.1074698959095644,0.0057305261508751,Wol17,,,,,D,Karmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.425,0.008,SDSS9,,,,14.623,0.07,UCAC4,13.3266,0.0035,EDR3,13.814,0.03,UCAC4,,,,13.093,0.02,UCAC4,12.871,UCAC3,12.509,0.01,UCAC4,11.8478,0.0028,EDR3,11.144,0.02,UCAC4,10.6502,0.0039,EDR3,10.28,US-B1,9.035,0.024,8.434,0.026,8.161,0.027,AAA,2M,8.052,0.024,7.888,0.02,7.771,0.017,7.333,0.112,AAAB,AllWISE,Single,,,,,,,,,,,,,No,,0.0,,,,,Gamma,,,2822328189657389824,23574516+1946112,283788194,3250.0,3350.0,4.0,5.0,False,,,False,False
J23573-129W,LP 704-14 B,B,4379,359.33161191298,-12.9778705601525,23:57:19.36,-12:58:40.7,78.4545566220215,-71.0137246627179,EDR3,M3.0 V,3.0,PMSU,,,,,,,,,,,,,,,,,208.146461926958,0.06241121,24.8284162939462,0.044089776,EDR3,50.4125475051504,0.06655586,EDR3,19.83633142,0.0261884,EDR3,-8.8,0.35,Jeff18,1.5593286,EDR3,-18.80427,0.03259,-9.43688,0.11226,4.82991,0.33101,Karmn,0.0149620382490877,0.0006864379901090105,Wol17,,,,,YD,Karmn,<,4.0,,Rein12,,,,-5.17,0.15,Sche15,,,,,,,,,,,,,,,,,,,,22.295,0.187,GALEX,,,,,,,14.599,0.02,UCAC4,13.2458,0.003,EDR3,13.817,0.03,UCAC4,,,,12.998,0.03,UCAC4,12.7,UCAC3,12.423,0.01,UCAC4,11.8428,0.0028,EDR3,11.193,0.04,UCAC4,10.6658,0.0038,EDR3,9.65,US-B1,9.128,0.023,8.523,0.033,8.234,0.031,AAA,2M,8.071,0.023,7.936,0.021,7.834,0.02,7.669,0.175,AAAB,AllWISE,Wide ,LDS830,19.60,,,J23573-129W,,,,,Giz02(Jeff18),,,No,,0.0,,FEROS,TCP,FastCam (Astralux),Gamma,,# Giz02 lists Bab but B is single and A is Aab. No companion found in Berg10 nor our FastCam images.,2421080250237474176,23571934-1258406,441054737,,,,,False,,,False,False
J23573-129E,LP 704-15 Aab,Aab,4378,359.336714472879,-12.9801687078262,23:57:20.58,-12:58:48.8,78.4617826173622,-71.0186722728955,EDR3,M4.0 V+,4.0,PMSU,3100.0,50.0,5.5,0.5,0.0,,Cif20,0.0195171,0.0003809,Cif20,0.4843,0.0163,Karmn,0.487,0.0206,Karmn,211.372459537341,0.054024052,15.1563433631339,0.037839547,EDR3,50.4236637856436,0.05425217,EDR3,19.83195835,0.02133774,EDR3,,,,1.8489001,EDR3,,,,,,,,0.0183243838708306,0.000548300810132952,Wol17,,,,,,,,,,,,,,-3.1,,PMSU,,,,J235720.0-125852,0.256,0.0299,-0.29,0.11,0.07,0.19,17.61,2.03,0.0098636212528175,2.31,PSPC/ROSAT,,,20.67,0.058,19.485,0.022,GALEX,,,,,,,14.609,0.01,UCAC4,13.2641,0.0049,EDR3,13.777,0.01,UCAC4,,,,13.018,0.03,UCAC4,12.755,UCAC3,12.415,0.03,UCAC4,11.6806,0.003,EDR3,10.981,0.05,UCAC4,10.4093,0.0041,EDR3,,,8.636,0.021,8.074,0.029,7.806,0.031,AAA,2M,7.567,0.03,7.447,0.021,7.329,0.018,7.111,0.108,AAAA,AllWISE,Wide+SB2,LDS830,19.60,,,J23573-129W,,,,,,,,No,,0.0,,,TCP,FastCam (Astralux),Delta,,# Giz02 lists Bab but B is single and A is Aab. No companion found in Berg10 nor our FastCam images.,2421080250237097344,23572056-1258487,441054736,3050.0,3150.0,5.0,6.0,False,,,False,False
